"","id","county","non_wa_percentage","tot_pop","num_HH","median_HH_income","five_mg_percentage","ten_mg_percentage"
"1","0500000US01003","Baldwin County, Alabama",0.167762244672291,212521,82325,56439,0.0114192495921697,NA
"2","0500000US01015","Calhoun County, Alabama",0.277081335541801,114710,44636,48156,0.00755939524838013,NA
"3","0500000US01043","Cullman County, Alabama",0.0795732921428313,82867,32090,50906,NA,NA
"4","0500000US01049","DeKalb County, Alabama",0.19551492923835,71437,24880,44208,NA,NA
"5","0500000US01051","Elmore County, Alabama",0.266377637493552,81422,30712,61854,NA,NA
"6","0500000US01055","Etowah County, Alabama",0.220586950401429,103007,40053,41447,0.0186915887850467,NA
"7","0500000US01069","Houston County, Alabama",0.332100634233268,104378,39761,50103,NA,NA
"8","0500000US01073","Jefferson County, Alabama",0.500554124551432,659599,264753,53944,0.0168032786885246,0.00471311475409836
"9","0500000US01077","Lauderdale County, Alabama",0.152489088630569,92564,38761,46632,NA,NA
"10","0500000US01081","Lee County, Alabama",0.324708870168484,161440,64448,53712,NA,NA
"11","0500000US01083","Limestone County, Alabama",0.233698077127377,94130,32020,63695,NA,NA
"12","0500000US01089","Madison County, Alabama",0.352422310801024,361762,155878,67930,NA,NA
"13","0500000US01095","Marshall County, Alabama",0.190693927091617,95572,35330,49467,0.00857142857142857,NA
"14","0500000US01097","Mobile County, Alabama",0.429612723254719,414045,155946,49639,0.0174149659863946,0.00299319727891156
"15","0500000US01101","Montgomery County, Alabama",0.661302884298066,227265,88864,53117,0.0104895104895105,0.00524475524475525
"16","0500000US01103","Morgan County, Alabama",0.243285289022688,118918,46470,54338,NA,NA
"17","0500000US01115","St. Clair County, Alabama",0.140686486363533,87926,32829,67487,NA,NA
"18","0500000US01117","Shelby County, Alabama",0.218800466220106,213633,84048,75614,0.0146443514644351,NA
"19","0500000US01121","Talladega County, Alabama",0.372064585360984,80142,30602,50147,NA,NA
"20","0500000US01125","Tuscaloosa County, Alabama",0.384667996031173,207618,74259,52243,NA,NA
"21","0500000US01127","Walker County, Alabama",0.109226074027702,63895,25153,46283,NA,NA
"22","0500000US04001","Apache County, Arizona",0.818156405059753,71545,20925,30480,NA,NA
"23","0500000US04003","Cochise County, Arizona",0.448856355715018,124864,51982,48484,0.00691489361702128,NA
"24","0500000US04005","Coconino County, Arizona",0.459429365749179,141001,48993,58085,NA,NA
"25","0500000US04013","Maricopa County, Arizona",0.446129861822377,4327184,1611722,68649,0.00236237776068564,0.00065926821228436
"26","0500000US04015","Mohave County, Arizona",0.225445253288377,207017,91095,50179,NA,NA
"27","0500000US04017","Navajo County, Arizona",0.584365459896039,109079,38732,38897,0.0097799511002445,NA
"28","0500000US04019","Pima County, Arizona",0.482042418532509,1026391,410404,56169,0.00226406101048618,NA
"29","0500000US04021","Pinal County, Arizona",0.430747235635966,431564,153413,62057,NA,NA
