"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US01001","Autauga County",4010,554,0.138154613466334,NA,NA,NA,NA
"2","0500000US01003","Baldwin County",14456,613,0.042404537908135,7,NA,0.0114192495921697,NA
"3","0500000US01005","Barbour County",1603,378,0.235807860262009,NA,NA,NA,NA
"4","0500000US01007","Bibb County",1568,69,0.0440051020408163,NA,NA,NA,NA
"5","0500000US01009","Blount County",4218,353,0.0836889521100047,NA,NA,NA,NA
"6","0500000US01011","Bullock County",743,274,0.368775235531629,NA,NA,NA,NA
"7","0500000US01013","Butler County",1416,184,0.129943502824859,NA,NA,NA,NA
"8","0500000US01015","Calhoun County",7896,926,0.117274569402229,7,NA,0.00755939524838013,NA
"9","0500000US01017","Chambers County",2418,254,0.105045492142266,NA,NA,NA,NA
"10","0500000US01019","Cherokee County",1492,98,0.0656836461126005,NA,NA,NA,NA
"11","0500000US01021","Chilton County",3340,229,0.068562874251497,6,NA,0.0262008733624454,NA
"12","0500000US01023","Choctaw County",830,92,0.110843373493976,NA,NA,NA,NA
"13","0500000US01025","Clarke County",1635,300,0.18348623853211,6,NA,0.02,NA
"14","0500000US01027","Clay County",844,83,0.0983412322274882,NA,NA,NA,NA
"15","0500000US01029","Cleburne County",1032,103,0.0998062015503876,NA,NA,NA,NA
"16","0500000US01031","Coffee County",3958,518,0.130874178878221,NA,NA,NA,NA
"17","0500000US01033","Colbert County",3761,396,0.105291145971816,NA,NA,NA,NA
"18","0500000US01035","Conecuh County",869,33,0.0379746835443038,NA,NA,NA,NA
"19","0500000US01037","Coosa County",556,32,0.0575539568345324,NA,NA,NA,NA
"20","0500000US01039","Covington County",2666,292,0.109527381845461,NA,NA,NA,NA
"21","0500000US01041","Crenshaw County",986,164,0.16632860040568,NA,NA,NA,NA
"22","0500000US01043","Cullman County",6064,731,0.120547493403694,NA,NA,NA,NA
"23","0500000US01045","Dale County",3900,709,0.181794871794872,NA,NA,NA,NA
"24","0500000US01047","Dallas County",2915,230,0.0789022298456261,7,NA,0.0304347826086957,NA
"25","0500000US01049","DeKalb County",5258,277,0.0526816279954355,NA,NA,NA,NA
"26","0500000US01051","Elmore County",5710,688,0.120490367775832,NA,NA,NA,NA
"27","0500000US01053","Escambia County",2680,128,0.0477611940298507,NA,NA,NA,NA
"28","0500000US01055","Etowah County",7071,428,0.0605289209447037,8,NA,0.0186915887850467,NA
"29","0500000US01057","Fayette County",1106,39,0.0352622061482821,NA,NA,NA,NA
"30","0500000US01059","Franklin County",2503,255,0.101877746703955,NA,NA,NA,NA
"31","0500000US01061","Geneva County",1770,315,0.177966101694915,NA,NA,NA,NA
"32","0500000US01063","Greene County",571,95,0.166374781085814,NA,NA,NA,NA
"33","0500000US01065","Hale County",1181,110,0.0931414055884843,NA,NA,NA,NA
"34","0500000US01067","Henry County",1084,196,0.180811808118081,NA,NA,NA,NA
"35","0500000US01069","Houston County",7585,1633,0.21529334212261,NA,NA,NA,NA
"36","0500000US01071","Jackson County",3313,450,0.135828554180501,NA,NA,NA,NA
"37","0500000US01073","Jefferson County",50701,4880,0.0962505670499596,82,23,0.0168032786885246,0.00471311475409836
"38","0500000US01075","Lamar County",920,24,0.0260869565217391,NA,NA,NA,NA
"39","0500000US01077","Lauderdale County",5744,260,0.0452646239554318,NA,NA,NA,NA
"40","0500000US01079","Lawrence County",2218,184,0.0829576194770063,NA,NA,NA,NA
"41","0500000US01081","Lee County",11404,1203,0.105489301999298,NA,NA,NA,NA
"42","0500000US01083","Limestone County",6545,277,0.0423223834988541,NA,NA,NA,NA
"43","0500000US01085","Lowndes County",739,101,0.136671177266576,NA,NA,NA,NA
"44","0500000US01087","Macon County",1077,244,0.226555246053853,NA,NA,NA,NA
"45","0500000US01089","Madison County",25417,1001,0.0393830900578353,NA,NA,NA,NA
"46","0500000US01091","Marengo County",1453,230,0.158293186510668,NA,NA,NA,NA
"47","0500000US01093","Marion County",1892,103,0.0544397463002114,NA,NA,NA,NA
"48","0500000US01095","Marshall County",7880,700,0.0888324873096447,6,NA,0.00857142857142857,NA
"49","0500000US01097","Mobile County",32454,3675,0.11323719726382,64,11,0.0174149659863946,0.00299319727891156
"50","0500000US01099","Monroe County",1333,29,0.0217554388597149,NA,NA,NA,NA
"51","0500000US01101","Montgomery County",18297,2288,0.12504782204733,24,12,0.0104895104895105,0.00524475524475525
"52","0500000US01103","Morgan County",8509,648,0.0761546597720061,NA,NA,NA,NA
"53","0500000US01105","Perry County",652,78,0.119631901840491,NA,NA,NA,NA
"54","0500000US01107","Pickens County",1286,103,0.0800933125972006,NA,NA,NA,NA
"55","0500000US01109","Pike County",2210,669,0.302714932126697,28,17,0.0418535127055306,0.0254110612855007
"56","0500000US01111","Randolph County",1549,261,0.168495803744351,NA,NA,NA,NA
"57","0500000US01113","Russell County",4797,346,0.0721284135918282,NA,NA,NA,NA
"58","0500000US01115","St. Clair County",6490,284,0.0437596302003082,NA,NA,NA,NA
"59","0500000US01117","Shelby County",15355,478,0.0311299251058287,7,NA,0.0146443514644351,NA
