"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US12001","Alachua County",15605,2736,0.175328420378084,72,NA,0.0263157894736842,NA
"2","0500000US12003","Baker County",2250,124,0.0551111111111111,NA,NA,NA,NA
"3","0500000US12005","Bay County",12550,606,0.0482868525896414,14,NA,0.0231023102310231,NA
"4","0500000US12007","Bradford County",2009,364,0.181184668989547,14,NA,0.0384615384615385,NA
"5","0500000US12009","Brevard County",32525,2439,0.0749884704073789,19,NA,0.00779007790077901,NA
"6","0500000US12011","Broward County",124182,26888,0.216520912853715,264,44,0.00981850639690568,0.00163641773281761
"7","0500000US12013","Calhoun County",991,31,0.0312815338042381,NA,NA,NA,NA
"8","0500000US12015","Charlotte County",6737,612,0.0908416208995102,7,NA,0.011437908496732,NA
"9","0500000US12017","Citrus County",6558,694,0.10582494663007,12,NA,0.0172910662824208,NA
"10","0500000US12019","Clay County",14333,907,0.0632805414079397,10,NA,0.0110253583241455,NA
"11","0500000US12021","Collier County",20575,1217,0.0591494532199271,26,NA,0.0213640098603122,NA
"12","0500000US12023","Columbia County",4975,585,0.117587939698492,22,NA,0.0376068376068376,NA
"13","0500000US12027","DeSoto County",2615,321,0.122753346080306,NA,NA,NA,NA
"14","0500000US12029","Dixie County",1319,162,0.122820318423048,10,NA,0.0617283950617284,NA
"15","0500000US12031","Duval County",70913,6319,0.08910919013439,265,31,0.0419370153505301,0.00490583953157145
"16","0500000US12033","Escambia County",22115,1402,0.0633958851458286,14,NA,0.00998573466476462,NA
"17","0500000US12035","Flagler County",5777,278,0.0481218625584213,9,NA,0.0323741007194245,NA
"18","0500000US12037","Franklin County",635,134,0.211023622047244,NA,NA,NA,NA
"19","0500000US12039","Gadsden County",3790,469,0.123746701846966,11,NA,0.023454157782516,NA
"20","0500000US12041","Gilchrist County",1040,159,0.152884615384615,9,NA,0.0566037735849057,NA
"21","0500000US12043","Glades County",915,51,0.0557377049180328,NA,NA,NA,NA
"22","0500000US12045","Gulf County",752,132,0.175531914893617,6,NA,0.0454545454545455,NA
