"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US13001","Appling County",1548,291,0.187984496124031,NA,NA,NA,NA
"2","0500000US13003","Atkinson County",818,133,0.162591687041565,NA,NA,NA,NA
"3","0500000US13005","Bacon County",869,84,0.096662830840046,NA,NA,NA,NA
"4","0500000US13007","Baker County",189,24,0.126984126984127,NA,NA,NA,NA
"5","0500000US13009","Baldwin County",3043,501,0.164640157739073,NA,NA,NA,NA
"6","0500000US13011","Banks County",1235,222,0.179757085020243,NA,NA,NA,NA
"7","0500000US13013","Barrow County",6367,899,0.141196795979268,NA,NA,NA,NA
"8","0500000US13015","Bartow County",8067,1012,0.125449361596628,NA,NA,NA,NA
"9","0500000US13017","Ben Hill County",1558,197,0.126444159178434,NA,NA,NA,NA
"10","0500000US13019","Berrien County",1448,128,0.0883977900552486,NA,NA,NA,NA
"11","0500000US13021","Bibb County",13570,1034,0.0761974944731024,33,10,0.0319148936170213,0.00967117988394584
"12","0500000US13023","Bleckley County",889,249,0.280089988751406,NA,NA,NA,NA
"13","0500000US13025","Brantley County",1550,156,0.100645161290323,NA,NA,NA,NA
"14","0500000US13027","Brooks County",1159,144,0.124245038826575,NA,NA,NA,NA
"15","0500000US13029","Bryan County",2812,291,0.10348506401138,NA,NA,NA,NA
"16","0500000US13031","Bulloch County",4851,699,0.144094001236858,NA,NA,NA,NA
"17","0500000US13033","Burke County",2006,362,0.180458624127617,12,NA,0.0331491712707182,NA
"18","0500000US13035","Butts County",1660,172,0.103614457831325,NA,NA,NA,NA
"19","0500000US13037","Calhoun County",396,97,0.244949494949495,NA,NA,NA,NA
"20","0500000US13039","Camden County",4661,341,0.073160266037331,NA,NA,NA,NA
"21","0500000US13043","Candler County",907,98,0.108048511576626,NA,NA,NA,NA
"22","0500000US13045","Carroll County",9070,1440,0.158765159867696,9,NA,0.00625,NA
"23","0500000US13047","Catoosa County",4650,419,0.0901075268817204,NA,NA,NA,NA
"24","0500000US13049","Charlton County",865,63,0.0728323699421966,NA,NA,NA,NA
"25","0500000US13051","Chatham County",22221,2818,0.126816974933621,29,7,0.010290986515259,0.00248403122782115
"26","0500000US13053","Chattahoochee County",1307,34,0.0260137719969396,NA,NA,NA,NA
"27","0500000US13055","Chattooga County",1747,262,0.149971379507728,NA,NA,NA,NA
"28","0500000US13057","Cherokee County",18501,1306,0.0705907788768175,6,NA,0.00459418070444104,NA
"29","0500000US13059","Clarke County",8156,1693,0.207577243746935,NA,NA,NA,NA
"30","0500000US13061","Clay County",409,39,0.0953545232273839,NA,NA,NA,NA
"31","0500000US13063","Clayton County",25651,3041,0.118552882928541,12,NA,0.00394607037158829,NA
"32","0500000US13065","Clinch County",732,82,0.112021857923497,NA,NA,NA,NA
"33","0500000US13067","Cobb County",58011,5678,0.0978779886573236,11,NA,0.00193730186685453,NA
"34","0500000US13069","Coffee County",3574,512,0.143256855064354,NA,NA,NA,NA
"35","0500000US13071","Colquitt County",4394,625,0.142239417387346,NA,NA,NA,NA
"36","0500000US13073","Columbia County",10536,262,0.0248671222475323,NA,NA,NA,NA
"37","0500000US13075","Cook County",1481,155,0.104659014179608,NA,NA,NA,NA
"38","0500000US13077","Coweta County",10949,752,0.0686820714220477,NA,NA,NA,NA
"39","0500000US13079","Crawford County",787,50,0.0635324015247776,NA,NA,NA,NA
"40","0500000US13081","Crisp County",2026,222,0.109575518262586,NA,NA,NA,NA
"41","0500000US13083","Dade County",1034,107,0.103481624758221,NA,NA,NA,NA
"42","0500000US13085","Dawson County",1505,280,0.186046511627907,NA,NA,NA,NA
"43","0500000US13087","Decatur County",2279,318,0.13953488372093,NA,NA,NA,NA
