"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US17001","Adams County",4965,1022,0.205840886203424,47,12,0.0459882583170254,0.0117416829745597
"2","0500000US17003","Alexander County",497,24,0.0482897384305835,NA,NA,NA,NA
"3","0500000US17005","Bond County",961,195,0.202913631633715,NA,NA,NA,NA
"4","0500000US17007","Boone County",3645,900,0.246913580246914,18,7,0.02,0.00777777777777778
"5","0500000US17009","Brown County",340,34,0.1,NA,NA,NA,NA
"6","0500000US17011","Bureau County",2178,463,0.212580348943985,32,12,0.0691144708423326,0.0259179265658747
"7","0500000US17015","Carroll County",907,193,0.212789415656009,13,6,0.0673575129533679,0.0310880829015544
"8","0500000US17017","Cass County",978,176,0.179959100204499,NA,NA,NA,NA
"9","0500000US17019","Champaign County",13859,1521,0.109748178079227,NA,NA,NA,NA
"10","0500000US17021","Christian County",2099,544,0.259171033825631,7,NA,0.0128676470588235,NA
"11","0500000US17023","Clark County",1158,206,0.177892918825561,NA,NA,NA,NA
"12","0500000US17025","Clay County",971,243,0.250257466529351,NA,NA,NA,NA
"13","0500000US17027","Clinton County",2638,305,0.115617892342684,NA,NA,NA,NA
"14","0500000US17029","Coles County",3030,765,0.252475247524752,6,NA,0.00784313725490196,NA
"15","0500000US17031","Cook County",387312,28328,0.0731400008262073,1360,558,0.0480090369951991,0.0196978254730302
"16","0500000US17033","Crawford County",1221,233,0.190827190827191,NA,NA,NA,NA
"17","0500000US17035","Cumberland County",763,162,0.212319790301442,NA,NA,NA,NA
"18","0500000US17037","DeKalb County",7354,1191,0.161952678814251,19,NA,0.0159529806884971,NA
"19","0500000US17039","De Witt County",1078,72,0.0667903525046382,NA,NA,NA,NA
"20","0500000US17041","Douglas County",1613,245,0.151890886546807,6,NA,0.0244897959183673,NA
"21","0500000US17043","DuPage County",66559,6228,0.0935711173545276,39,18,0.00626204238921002,0.00289017341040462
"22","0500000US17045","Edgar County",1073,259,0.241379310344828,8,NA,0.0308880308880309,NA
"23","0500000US17047","Edwards County",472,62,0.13135593220339,NA,NA,NA,NA
"24","0500000US17049","Effingham County",2743,430,0.15676266861101,NA,NA,NA,NA
"25","0500000US17051","Fayette County",1429,256,0.179146256123163,NA,NA,NA,NA
"26","0500000US17053","Ford County",918,129,0.140522875816993,NA,NA,NA,NA
"27","0500000US17055","Franklin County",2844,292,0.10267229254571,NA,NA,NA,NA
"28","0500000US17057","Fulton County",2043,328,0.16054821341165,6,NA,0.0182926829268293,NA
"29","0500000US17059","Gallatin County",333,22,0.0660660660660661,NA,NA,NA,NA
"30","0500000US17061","Greene County",842,135,0.160332541567696,NA,NA,NA,NA
"31","0500000US17063","Grundy County",3855,435,0.11284046692607,8,NA,0.0183908045977011,NA
"32","0500000US17065","Hamilton County",535,90,0.168224299065421,NA,NA,NA,NA
"33","0500000US17067","Hancock County",1227,207,0.168704156479218,7,NA,0.0338164251207729,NA
"34","0500000US17069","Hardin County",184,8,0.0434782608695652,NA,NA,NA,NA
"35","0500000US17071","Henderson County",393,77,0.195928753180662,NA,NA,NA,NA
"36","0500000US17073","Henry County",3454,394,0.114070642733063,22,NA,0.0558375634517767,NA
"37","0500000US17075","Iroquois County",1769,245,0.138496325607688,7,NA,0.0285714285714286,NA
"38","0500000US17077","Jackson County",3860,885,0.229274611398964,NA,NA,NA,NA
"39","0500000US17079","Jasper County",704,88,0.125,NA,NA,NA,NA
"40","0500000US17081","Jefferson County",2947,494,0.167628096369189,NA,NA,NA,NA
"41","0500000US17083","Jersey County",1274,260,0.204081632653061,NA,NA,NA,NA
"42","0500000US17085","Jo Daviess County",1215,119,0.0979423868312757,NA,NA,NA,NA
"43","0500000US17087","Johnson County",672,36,0.0535714285714286,NA,NA,NA,NA
"44","0500000US17089","Kane County",41780,9988,0.239061752034466,141,47,0.0141169403283941,0.00470564677613136
"45","0500000US17091","Kankakee County",7859,1493,0.189973279043135,25,9,0.0167448091091762,0.00602813127930342
"46","0500000US17093","Kendall County",10803,618,0.0572063315745626,6,NA,0.00970873786407767,NA
"47","0500000US17095","Knox County",3299,469,0.142164292209761,74,22,0.157782515991471,0.046908315565032
"48","0500000US17097","Lake County",49976,6839,0.136845685929246,80,24,0.0116976166106156,0.00350928498318468
"49","0500000US17099","La Salle County",7380,1512,0.204878048780488,67,27,0.0443121693121693,0.0178571428571429
"50","0500000US17101","Lawrence County",997,162,0.162487462387161,6,NA,0.037037037037037,NA
"51","0500000US17103","Lee County",2133,159,0.0745428973277075,6,NA,0.0377358490566038,NA
"52","0500000US17105","Livingston County",2432,485,0.199424342105263,NA,NA,NA,NA
"53","0500000US17107","Logan County",1843,291,0.157894736842105,6,NA,0.0206185567010309,NA
"54","0500000US17109","McDonough County",1610,203,0.126086956521739,10,7,0.0492610837438424,0.0344827586206897
"55","0500000US17111","McHenry County",21135,1513,0.071587414241779,7,NA,0.0046265697290152,NA
"56","0500000US17113","McLean County",12449,2139,0.171821029801591,36,9,0.0168302945301543,0.00420757363253857
"57","0500000US17115","Macon County",7821,2155,0.275540212249073,61,30,0.0283062645011601,0.0139211136890951
"58","0500000US17117","Macoupin County",2854,452,0.158374211632796,NA,NA,NA,NA
"59","0500000US17119","Madison County",18604,2360,0.126854439905397,45,16,0.0190677966101695,0.00677966101694915
"60","0500000US17121","Marion County",2911,607,0.208519409137753,7,NA,0.0115321252059308,NA
"61","0500000US17123","Marshall County",785,57,0.0726114649681529,9,NA,0.157894736842105,NA
"62","0500000US17125","Mason County",848,153,0.180424528301887,9,6,0.0588235294117647,0.0392156862745098
"63","0500000US17127","Massac County",983,46,0.046795523906409,NA,NA,NA,NA
"64","0500000US17129","Menard County",787,87,0.110546378653113,NA,NA,NA,NA
"65","0500000US17131","Mercer County",950,163,0.171578947368421,6,NA,0.0368098159509202,NA
"66","0500000US17133","Monroe County",2308,184,0.0797227036395147,NA,NA,NA,NA
"67","0500000US17135","Montgomery County",1859,264,0.142011834319527,NA,NA,NA,NA
"68","0500000US17137","Morgan County",2072,446,0.215250965250965,22,9,0.0493273542600897,0.0201793721973094
"69","0500000US17139","Moultrie County",1148,211,0.183797909407665,NA,NA,NA,NA
"70","0500000US17141","Ogle County",3400,525,0.154411764705882,12,NA,0.0228571428571429,NA
