"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US18001","Adams County",3964,252,0.0635721493440969,NA,NA,NA,NA
"2","0500000US18003","Allen County",31700,6,0.00018927444794952,NA,NA,NA,NA
"3","0500000US18005","Bartholomew County",6461,761,0.117783624825878,13,NA,0.0170827858081472,NA
"4","0500000US18007","Benton County",667,71,0.106446776611694,NA,NA,NA,NA
"5","0500000US18009","Blackford County",800,122,0.1525,NA,NA,NA,NA
"6","0500000US18011","Boone County",5479,410,0.0748311735718197,NA,NA,NA,NA
"7","0500000US18013","Brown County",732,103,0.140710382513661,NA,NA,NA,NA
"8","0500000US18015","Carroll County",1321,239,0.180923542770628,NA,NA,NA,NA
"9","0500000US18017","Cass County",2900,617,0.212758620689655,20,9,0.0324149108589951,0.0145867098865478
"10","0500000US18019","Clark County",8916,1454,0.163077613279498,7,NA,0.00481430536451169,NA
"11","0500000US18021","Clay County",1954,212,0.10849539406346,NA,NA,NA,NA
"12","0500000US18023","Clinton County",2741,417,0.15213425757023,14,NA,0.0335731414868106,NA
"13","0500000US18025","Crawford County",686,117,0.170553935860058,NA,NA,NA,NA
"14","0500000US18027","Daviess County",3242,84,0.0259099321406539,NA,NA,NA,NA
"15","0500000US18029","Dearborn County",3264,336,0.102941176470588,NA,NA,NA,NA
"16","0500000US18031","Decatur County",2091,238,0.113821138211382,NA,NA,NA,NA
"17","0500000US18033","DeKalb County",3270,173,0.0529051987767584,NA,NA,NA,NA
"18","0500000US18035","Delaware County",7027,809,0.115127365874484,23,8,0.0284301606922126,0.00988875154511743
"19","0500000US18037","Dubois County",3356,50,0.0148986889153754,NA,NA,NA,NA
"20","0500000US18039","Elkhart County",18629,1594,0.0855655161307639,31,NA,0.0194479297365119,NA
"21","0500000US18041","Fayette County",1500,232,0.154666666666667,NA,NA,NA,NA
"22","0500000US18043","Floyd County",5428,997,0.183677229182019,NA,NA,NA,NA
"23","0500000US18045","Fountain County",1195,102,0.0853556485355648,NA,NA,NA,NA
"24","0500000US18047","Franklin County",1509,235,0.155732273028496,NA,NA,NA,NA
"25","0500000US18049","Fulton County",1508,127,0.0842175066312997,NA,NA,NA,NA
"26","0500000US18051","Gibson County",2521,253,0.100357001190004,NA,NA,NA,NA
"27","0500000US18053","Grant County",4455,1062,0.238383838383838,8,NA,0.00753295668549906,NA
"28","0500000US18055","Greene County",2099,448,0.213434969032873,NA,NA,NA,NA
"29","0500000US18057","Hamilton County",26566,1837,0.0691485357223519,NA,NA,NA,NA
"30","0500000US18059","Hancock County",5349,244,0.0456160029912133,NA,NA,NA,NA
"31","0500000US18061","Harrison County",2848,551,0.193469101123595,NA,NA,NA,NA
"32","0500000US18063","Hendricks County",12075,485,0.0401656314699793,NA,NA,NA,NA
"33","0500000US18065","Henry County",2989,199,0.0665774506523921,NA,NA,NA,NA
"34","0500000US18067","Howard County",6100,755,0.123770491803279,NA,NA,NA,NA
"35","0500000US18069","Huntington County",2508,171,0.0681818181818182,13,NA,0.0760233918128655,NA
"36","0500000US18071","Jackson County",3507,498,0.142001710863986,6,NA,0.0120481927710843,NA
"37","0500000US18073","Jasper County",2337,196,0.0838682071031237,NA,NA,NA,NA
"38","0500000US18075","Jay County",1805,173,0.0958448753462604,NA,NA,NA,NA
"39","0500000US18077","Jefferson County",2110,353,0.167298578199052,6,NA,0.0169971671388102,NA
"40","0500000US18079","Jennings County",2030,122,0.0600985221674877,NA,NA,NA,NA
"41","0500000US18081","Johnson County",12152,802,0.0659973666886109,8,NA,0.00997506234413965,NA
"42","0500000US18083","Knox County",2684,208,0.0774962742175857,NA,NA,NA,NA
"43","0500000US18085","Kosciusko County",6191,444,0.0717170085608141,6,NA,0.0135135135135135,NA
"44","0500000US18087","LaGrange County",4331,105,0.0242438235973216,NA,NA,NA,NA
"45","0500000US18089","Lake County",35889,3146,0.0876591713338349,44,14,0.013986013986014,0.00445009535918627
"46","0500000US18091","LaPorte County",7904,NA,NA,NA,NA,NA,NA
"47","0500000US18093","Lawrence County",3080,745,0.241883116883117,NA,NA,NA,NA
"48","0500000US18095","Madison County",8932,1149,0.128638602776534,13,NA,0.0113141862489121,NA
"49","0500000US18097","Marion County",82610,6887,0.0833676310374047,260,68,0.0377522869173806,0.0098736750399303
"50","0500000US18099","Marshall County",3576,371,0.103747203579418,NA,NA,NA,NA
"51","0500000US18101","Martin County",801,94,0.117353308364544,NA,NA,NA,NA
"52","0500000US18103","Miami County",2321,257,0.110728134424817,NA,NA,NA,NA
"53","0500000US18105","Monroe County",7902,2530,0.320172108327006,NA,NA,NA,NA
"54","0500000US18107","Montgomery County",2844,467,0.164205344585091,NA,NA,NA,NA
"55","0500000US18109","Morgan County",4671,763,0.163348319417684,NA,NA,NA,NA
"56","0500000US18111","Newton County",958,90,0.0939457202505219,NA,NA,NA,NA
"57","0500000US18113","Noble County",3801,196,0.0515653775322284,10,NA,0.0510204081632653,NA
"58","0500000US18115","Ohio County",333,54,0.162162162162162,NA,NA,NA,NA
"59","0500000US18117","Orange County",1390,189,0.135971223021583,NA,NA,NA,NA
"60","0500000US18119","Owen County",1363,417,0.305942773294204,NA,NA,NA,NA
"61","0500000US18121","Parke County",1248,129,0.103365384615385,NA,NA,NA,NA
"62","0500000US18123","Perry County",1293,138,0.106728538283063,NA,NA,NA,NA
"63","0500000US18125","Pike County",842,36,0.0427553444180523,NA,NA,NA,NA
"64","0500000US18127","Porter County",11090,910,0.0820559062218215,7,NA,0.00769230769230769,NA
"65","0500000US18129","Posey County",1792,156,0.0870535714285714,NA,NA,NA,NA
"66","0500000US18131","Pulaski County",823,87,0.105710814094775,NA,NA,NA,NA
"67","0500000US18133","Putnam County",2289,234,0.102228047182176,NA,NA,NA,NA
"68","0500000US18135","Randolph County",1786,105,0.0587905935050392,NA,NA,NA,NA
"69","0500000US18137","Ripley County",2029,338,0.166584524396254,NA,NA,NA,NA
"70","0500000US18139","Rush County",1130,69,0.0610619469026549,NA,NA,NA,NA
"71","0500000US18141","St. Joseph County",20933,2882,0.137677351550184,85,29,0.0294934073560028,0.0100624566273421
