"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US19001","Adair County",500,93,0.186,NA,NA,NA,NA
"2","0500000US19003","Adams County",265,66,0.249056603773585,NA,NA,NA,NA
"3","0500000US19005","Allamakee County",1088,333,0.306066176470588,10,NA,0.03003003003003,NA
"4","0500000US19007","Appanoose County",981,165,0.168195718654434,6,NA,0.0363636363636364,NA
"5","0500000US19009","Audubon County",380,92,0.242105263157895,9,NA,0.0978260869565217,NA
"6","0500000US19011","Benton County",1963,392,0.19969434538971,57,NA,0.145408163265306,NA
"7","0500000US19013","Black Hawk County",9981,753,0.0754433423504659,52,10,0.0690571049136786,0.0132802124833997
"8","0500000US19015","Boone County",1778,395,0.222159730033746,33,NA,0.0835443037974684,NA
"9","0500000US19017","Bremer County",1666,101,0.06062424969988,NA,NA,NA,NA
"10","0500000US19019","Buchanan County",1876,99,0.052771855010661,NA,NA,NA,NA
"11","0500000US19021","Buena Vista County",1772,333,0.187923250564334,9,NA,0.027027027027027,NA
"12","0500000US19023","Butler County",1196,110,0.0919732441471572,7,NA,0.0636363636363636,NA
"13","0500000US19025","Calhoun County",606,171,0.282178217821782,NA,NA,NA,NA
"14","0500000US19027","Carroll County",1743,503,0.288582903040734,25,NA,0.0497017892644135,NA
"15","0500000US19029","Cass County",1040,143,0.1375,11,NA,0.0769230769230769,NA
"16","0500000US19031","Cedar County",1412,312,0.220963172804533,8,NA,0.0256410256410256,NA
"17","0500000US19033","Cerro Gordo County",2891,753,0.260463507436873,64,NA,0.0849933598937583,NA
"18","0500000US19035","Cherokee County",785,125,0.159235668789809,29,NA,0.232,NA
"19","0500000US19037","Chickasaw County",934,120,0.12847965738758,9,NA,0.075,NA
"20","0500000US19039","Clarke County",859,149,0.173457508731083,NA,NA,NA,NA
"21","0500000US19041","Clay County",1281,312,0.243559718969555,NA,NA,NA,NA
"22","0500000US19043","Clayton County",1323,307,0.232048374905518,63,NA,0.205211726384365,NA
"23","0500000US19045","Clinton County",3605,494,0.137031900138696,12,NA,0.0242914979757085,NA
"24","0500000US19047","Crawford County",1515,312,0.205940594059406,12,6,0.0384615384615385,0.0192307692307692
"25","0500000US19049","Dallas County",6986,1850,0.264815344975666,NA,NA,NA,NA
"26","0500000US19051","Davis County",858,141,0.164335664335664,48,NA,0.340425531914894,NA
"27","0500000US19053","Decatur County",592,173,0.29222972972973,NA,NA,NA,NA
"28","0500000US19055","Delaware County",1294,159,0.122874806800618,93,NA,0.584905660377358,NA
"29","0500000US19057","Des Moines County",3019,791,0.262007287181186,39,25,0.0493046776232617,0.0316055625790139
