"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US20001","Allen County",978,164,0.167689161554192,NA,NA,NA,NA
"2","0500000US20003","Anderson County",682,100,0.146627565982405,NA,NA,NA,NA
"3","0500000US20005","Atchison County",1304,238,0.182515337423313,NA,NA,NA,NA
"4","0500000US20007","Barber County",326,54,0.165644171779141,NA,NA,NA,NA
"5","0500000US20009","Barton County",2255,169,0.0749445676274945,11,NA,0.0650887573964497,NA
"6","0500000US20011","Bourbon County",1241,94,0.0757453666398066,7,NA,0.074468085106383,NA
"7","0500000US20013","Brown County",806,98,0.121588089330025,8,NA,0.0816326530612245,NA
"8","0500000US20015","Butler County",5208,108,0.0207373271889401,NA,NA,NA,NA
"9","0500000US20017","Chase County",174,10,0.0574712643678161,NA,NA,NA,NA
"10","0500000US20019","Chautauqua County",251,101,0.402390438247012,NA,NA,NA,NA
"11","0500000US20021","Cherokee County",1661,202,0.121613485851896,NA,NA,NA,NA
"12","0500000US20023","Cheyenne County",151,7,0.0463576158940397,NA,NA,NA,NA
"13","0500000US20025","Clark County",153,NA,NA,NA,NA,NA,NA
"14","0500000US20027","Clay County",695,83,0.119424460431655,NA,NA,NA,NA
"15","0500000US20029","Cloud County",722,56,0.0775623268698061,NA,NA,NA,NA
"16","0500000US20031","Coffey County",556,12,0.0215827338129496,NA,NA,NA,NA
"17","0500000US20033","Comanche County",144,10,0.0694444444444444,NA,NA,NA,NA
"18","0500000US20035","Cowley County",2883,437,0.151578217134929,8,NA,0.0183066361556064,NA
"19","0500000US20037","Crawford County",2954,533,0.180433310765064,NA,NA,NA,NA
"20","0500000US20039","Decatur County",177,18,0.101694915254237,NA,NA,NA,NA
"21","0500000US20041","Dickinson County",1481,273,0.184334908845375,NA,NA,NA,NA
"22","0500000US20043","Doniphan County",483,34,0.0703933747412008,NA,NA,NA,NA
"23","0500000US20045","Douglas County",7221,428,0.0592715690347597,NA,NA,NA,NA
"24","0500000US20047","Edwards County",220,34,0.154545454545455,NA,NA,NA,NA
"25","0500000US20049","Elk County",176,13,0.0738636363636364,NA,NA,NA,NA
"26","0500000US20051","Ellis County",2130,338,0.15868544600939,19,NA,0.0562130177514793,NA
"27","0500000US20053","Ellsworth County",375,123,0.328,NA,NA,NA,NA
"28","0500000US20055","Finney County",4228,314,0.0742667928098392,NA,NA,NA,NA
"29","0500000US20057","Ford County",3797,651,0.171451145641296,11,NA,0.0168970814132104,NA
"30","0500000US20059","Franklin County",2254,161,0.0714285714285714,NA,NA,NA,NA
"31","0500000US20061","Geary County",4271,320,0.0749239054085694,NA,NA,NA,NA
"32","0500000US20063","Gove County",208,15,0.0721153846153846,NA,NA,NA,NA
"33","0500000US20065","Graham County",176,34,0.193181818181818,NA,NA,NA,NA
"34","0500000US20067","Grant County",884,74,0.083710407239819,NA,NA,NA,NA
"35","0500000US20069","Gray County",600,45,0.075,NA,NA,NA,NA
"36","0500000US20071","Greeley County",61,41,0.672131147540984,NA,NA,NA,NA
"37","0500000US20073","Greenwood County",491,112,0.228105906313646,12,8,0.107142857142857,0.0714285714285714
"38","0500000US20075","Hamilton County",258,6,0.0232558139534884,NA,NA,NA,NA
"39","0500000US20077","Harper County",492,17,0.0345528455284553,NA,NA,NA,NA
