"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US21001","Adair County",1141,NA,NA,NA,NA,NA,NA
"2","0500000US21003","Allen County",1495,98,0.0655518394648829,NA,NA,NA,NA
"3","0500000US21005","Anderson County",1639,47,0.0286760219646126,NA,NA,NA,NA
"4","0500000US21007","Ballard County",525,NA,NA,NA,NA,NA,NA
"5","0500000US21009","Barren County",3305,12,0.00363086232980333,NA,NA,NA,NA
"6","0500000US21011","Bath County",952,NA,NA,NA,NA,NA,NA
"7","0500000US21013","Bell County",1984,46,0.0231854838709677,NA,NA,NA,NA
"8","0500000US21015","Boone County",10579,216,0.0204178088666226,NA,NA,NA,NA
"9","0500000US21017","Bourbon County",1452,20,0.0137741046831956,NA,NA,NA,NA
"10","0500000US21019","Boyd County",3489,148,0.0424190312410433,NA,NA,NA,NA
"11","0500000US21021","Boyle County",1899,NA,NA,NA,NA,NA,NA
"12","0500000US21023","Bracken County",631,27,0.0427892234548336,NA,NA,NA,NA
"13","0500000US21025","Breathitt County",971,146,0.150360453141092,NA,NA,NA,NA
"14","0500000US21027","Breckinridge County",1351,78,0.0577350111028868,NA,NA,NA,NA
"15","0500000US21029","Bullitt County",5170,106,0.0205029013539652,NA,NA,NA,NA
"16","0500000US21031","Butler County",928,40,0.0431034482758621,NA,NA,NA,NA
"17","0500000US21033","Caldwell County",878,96,0.109339407744875,NA,NA,NA,NA
"18","0500000US21035","Calloway County",2399,NA,NA,NA,NA,NA,NA
"19","0500000US21037","Campbell County",6563,262,0.0399207679414902,18,NA,0.0687022900763359,NA
"20","0500000US21039","Carlisle County",361,NA,NA,NA,NA,NA,NA
"21","0500000US21041","Carroll County",1003,92,0.0917248255234297,NA,NA,NA,NA
"22","0500000US21043","Carter County",1981,90,0.0454316002019182,NA,NA,NA,NA
"23","0500000US21045","Casey County",1132,NA,NA,NA,NA,NA,NA
"24","0500000US21047","Christian County",8179,97,0.0118596405428537,NA,NA,NA,NA
"25","0500000US21049","Clark County",2531,6,0.00237060450414856,NA,NA,NA,NA
"26","0500000US21051","Clay County",1492,25,0.0167560321715818,NA,NA,NA,NA
"27","0500000US21053","Clinton County",840,NA,NA,NA,NA,NA,NA
"28","0500000US21055","Crittenden County",651,77,0.118279569892473,NA,NA,NA,NA
"29","0500000US21057","Cumberland County",486,NA,NA,NA,NA,NA,NA
"30","0500000US21059","Daviess County",8055,65,0.00806952203600248,NA,NA,NA,NA
"31","0500000US21061","Edmonson County",657,22,0.0334855403348554,NA,NA,NA,NA
"32","0500000US21063","Elliott County",443,15,0.0338600451467269,NA,NA,NA,NA
"33","0500000US21065","Estill County",1003,75,0.0747756729810568,NA,NA,NA,NA
"34","0500000US21067","Fayette County",23284,603,0.0258976120941419,7,NA,0.0116086235489221,NA
"35","0500000US21069","Fleming County",1119,NA,NA,NA,NA,NA,NA
"36","0500000US21071","Floyd County",2881,310,0.107601527247484,NA,NA,NA,NA
"37","0500000US21073","Franklin County",3303,139,0.0420829548894944,NA,NA,NA,NA
"38","0500000US21075","Fulton County",465,NA,NA,NA,NA,NA,NA
"39","0500000US21077","Gallatin County",744,36,0.0483870967741935,NA,NA,NA,NA
"40","0500000US21079","Garrard County",1145,10,0.00873362445414847,NA,NA,NA,NA
"41","0500000US21081","Grant County",2182,27,0.0123739688359303,NA,NA,NA,NA
"42","0500000US21083","Graves County",3061,24,0.0078405749754982,NA,NA,NA,NA
"43","0500000US21085","Grayson County",1998,145,0.0725725725725726,NA,NA,NA,NA
"44","0500000US21087","Green County",721,NA,NA,NA,NA,NA,NA
"45","0500000US21089","Greenup County",2444,64,0.0261865793780687,NA,NA,NA,NA
"46","0500000US21091","Hancock County",658,NA,NA,NA,NA,NA,NA
"47","0500000US21093","Hardin County",8904,336,0.0377358490566038,NA,NA,NA,NA
"48","0500000US21095","Harlan County",2201,101,0.0458882326215357,NA,NA,NA,NA
"49","0500000US21097","Harrison County",1292,27,0.0208978328173375,NA,NA,NA,NA
"50","0500000US21099","Hart County",1457,8,0.00549073438572409,NA,NA,NA,NA
"51","0500000US21101","Henderson County",3534,NA,NA,NA,NA,NA,NA
"52","0500000US21103","Henry County",1103,36,0.0326382592928377,NA,NA,NA,NA
"53","0500000US21105","Hickman County",247,NA,NA,NA,NA,NA,NA
"54","0500000US21107","Hopkins County",3503,36,0.0102769055095632,NA,NA,NA,NA
"55","0500000US21109","Jackson County",962,20,0.0207900207900208,NA,NA,NA,NA
"56","0500000US21111","Jefferson County",58422,10,0.000171168395467461,NA,NA,NA,NA
"57","0500000US21113","Jessamine County",4150,52,0.0125301204819277,NA,NA,NA,NA
"58","0500000US21115","Johnson County",1771,57,0.0321852060982496,NA,NA,NA,NA
"59","0500000US21117","Kenton County",13382,581,0.0434165296667165,21,6,0.036144578313253,0.0103270223752151
"60","0500000US21119","Knott County",1065,160,0.150234741784038,NA,NA,NA,NA
"61","0500000US21121","Knox County",2297,90,0.0391815411406182,NA,NA,NA,NA
"62","0500000US21123","Larue County",933,43,0.0460878885316184,NA,NA,NA,NA
"63","0500000US21125","Laurel County",4415,91,0.0206115515288788,NA,NA,NA,NA
"64","0500000US21127","Lawrence County",1263,139,0.110055423594616,NA,NA,NA,NA
"65","0500000US21129","Lee County",432,76,0.175925925925926,NA,NA,NA,NA
"66","0500000US21131","Leslie County",782,125,0.159846547314578,NA,NA,NA,NA
"67","0500000US21133","Letcher County",1659,127,0.0765521398432791,NA,NA,NA,NA
"68","0500000US21135","Lewis County",866,48,0.0554272517321016,NA,NA,NA,NA
"69","0500000US21137","Lincoln County",1970,15,0.00761421319796954,NA,NA,NA,NA
"70","0500000US21139","Livingston County",622,49,0.0787781350482315,NA,NA,NA,NA
"71","0500000US21141","Logan County",1928,96,0.0497925311203319,NA,NA,NA,NA
"72","0500000US21143","Lyon County",358,44,0.122905027932961,NA,NA,NA,NA
"73","0500000US21145","McCracken County",4665,57,0.0122186495176849,NA,NA,NA,NA
"74","0500000US21147","McCreary County",1320,44,0.0333333333333333,NA,NA,NA,NA
"75","0500000US21149","McLean County",665,NA,NA,NA,NA,NA,NA
"76","0500000US21151","Madison County",6105,111,0.0181818181818182,NA,NA,NA,NA
"77","0500000US21153","Magoffin County",942,51,0.054140127388535,NA,NA,NA,NA
"78","0500000US21155","Marion County",1522,31,0.0203679369250986,NA,NA,NA,NA
"79","0500000US21157","Marshall County",2024,NA,NA,NA,NA,NA,NA
"80","0500000US21159","Martin County",798,36,0.0451127819548872,NA,NA,NA,NA
"81","0500000US21161","Mason County",1267,11,0.00868192580899763,NA,NA,NA,NA
"82","0500000US21163","Meade County",2029,53,0.0261212419911286,NA,NA,NA,NA
"83","0500000US21165","Menifee County",395,7,0.0177215189873418,NA,NA,NA,NA
"84","0500000US21167","Mercer County",1530,39,0.0254901960784314,NA,NA,NA,NA
"85","0500000US21169","Metcalfe County",737,NA,NA,NA,NA,NA,NA
"86","0500000US21171","Monroe County",778,7,0.0089974293059126,NA,NA,NA,NA
"87","0500000US21173","Montgomery County",2147,55,0.0256171401956218,NA,NA,NA,NA
"88","0500000US21175","Morgan County",780,22,0.0282051282051282,NA,NA,NA,NA
"89","0500000US21177","Muhlenberg County",1910,278,0.145549738219895,NA,NA,NA,NA
"90","0500000US21179","Nelson County",3659,185,0.0505602623667669,NA,NA,NA,NA
"91","0500000US21181","Nicholas County",510,9,0.0176470588235294,NA,NA,NA,NA
"92","0500000US21183","Ohio County",1751,12,0.00685322672758424,NA,NA,NA,NA
"93","0500000US21185","Oldham County",4010,130,0.0324189526184539,NA,NA,NA,NA
"94","0500000US21187","Owen County",700,52,0.0742857142857143,NA,NA,NA,NA
"95","0500000US21189","Owsley County",363,35,0.0964187327823691,NA,NA,NA,NA
"96","0500000US21191","Pendleton County",956,44,0.0460251046025105,NA,NA,NA,NA
"97","0500000US21193","Perry County",2051,300,0.146270112140419,NA,NA,NA,NA
"98","0500000US21195","Pike County",4244,56,0.0131950989632422,NA,NA,NA,NA
"99","0500000US21197","Powell County",961,NA,NA,NA,NA,NA,NA
"100","0500000US21199","Pulaski County",4499,112,0.0248944209824405,NA,NA,NA,NA
"101","0500000US21201","Robertson County",136,NA,NA,NA,NA,NA,NA
"102","0500000US21203","Rockcastle County",1123,17,0.0151380231522707,NA,NA,NA,NA
"103","0500000US21205","Rowan County",1533,NA,NA,NA,NA,NA,NA
"104","0500000US21207","Russell County",1343,NA,NA,NA,NA,NA,NA
"105","0500000US21209","Scott County",4218,16,0.00379326695116169,NA,NA,NA,NA
"106","0500000US21211","Shelby County",3659,155,0.0423613009018858,NA,NA,NA,NA
"107","0500000US21213","Simpson County",1410,28,0.0198581560283688,NA,NA,NA,NA
"108","0500000US21215","Spencer County",1197,51,0.0426065162907268,NA,NA,NA,NA
"109","0500000US21217","Taylor County",1875,NA,NA,NA,NA,NA,NA
"110","0500000US21219","Todd County",1138,53,0.046572934973638,NA,NA,NA,NA
"111","0500000US21221","Trigg County",888,90,0.101351351351351,NA,NA,NA,NA
"112","0500000US21223","Trimble County",609,15,0.0246305418719212,NA,NA,NA,NA
"113","0500000US21225","Union County",1041,NA,NA,NA,NA,NA,NA
"114","0500000US21227","Warren County",9097,524,0.0576014070572716,NA,NA,NA,NA
"115","0500000US21229","Washington County",848,27,0.0318396226415094,NA,NA,NA,NA
"116","0500000US21231","Wayne County",1393,59,0.0423546302943288,NA,NA,NA,NA
"117","0500000US21233","Webster County",989,9,0.00910010111223458,NA,NA,NA,NA
"118","0500000US21235","Whitley County",2963,143,0.0482618967262909,NA,NA,NA,NA
"119","0500000US21237","Wolfe County",513,74,0.144249512670565,NA,NA,NA,NA
"120","0500000US21239","Woodford County",1713,45,0.0262697022767075,NA,NA,NA,NA
