"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US22001","Acadia Parish",5579,103,0.0184620899802832,NA,NA,NA,NA
"2","0500000US22003","Allen Parish",1959,69,0.0352220520673813,NA,NA,NA,NA
"3","0500000US22005","Ascension Parish",10377,223,0.0214898332851499,NA,NA,NA,NA
"4","0500000US22007","Assumption Parish",1585,41,0.0258675078864353,NA,NA,NA,NA
"5","0500000US22009","Avoyelles Parish",3326,215,0.0646422128683103,NA,NA,NA,NA
"6","0500000US22011","Beauregard Parish",2858,93,0.0325402379286214,NA,NA,NA,NA
"7","0500000US22013","Bienville Parish",996,31,0.0311244979919679,NA,NA,NA,NA
"8","0500000US22015","Bossier Parish",10778,603,0.055947300055669,NA,NA,NA,NA
"9","0500000US22017","Caddo Parish",21359,1313,0.061472915398661,18,11,0.0137090632140137,0.00837776085300838
"10","0500000US22019","Calcasieu Parish",16282,443,0.0272079597101093,NA,NA,NA,NA
"11","0500000US22021","Caldwell Parish",711,74,0.10407876230661,NA,NA,NA,NA
"12","0500000US22023","Cameron Parish",450,6,0.0133333333333333,NA,NA,NA,NA
"13","0500000US22025","Catahoula Parish",725,69,0.0951724137931034,NA,NA,NA,NA
"14","0500000US22027","Claiborne Parish",1027,123,0.119766309639727,10,6,0.0813008130081301,0.0487804878048781
"15","0500000US22029","Concordia Parish",1615,257,0.159133126934985,NA,NA,NA,NA
"16","0500000US22031","De Soto Parish",2156,110,0.0510204081632653,NA,NA,NA,NA
"17","0500000US22033","East Baton Rouge Parish",34707,1335,0.0384648629959374,7,NA,0.0052434456928839,NA
"18","0500000US22035","East Carroll Parish",414,15,0.036231884057971,NA,NA,NA,NA
"19","0500000US22037","East Feliciana Parish",1175,92,0.0782978723404255,NA,NA,NA,NA
"20","0500000US22039","Evangeline Parish",2857,126,0.0441022051102555,NA,NA,NA,NA
"21","0500000US22041","Franklin Parish",1770,259,0.146327683615819,NA,NA,NA,NA
"22","0500000US22043","Grant Parish",1634,40,0.0244798041615667,NA,NA,NA,NA
"23","0500000US22045","Iberia Parish",6466,121,0.0187132694092174,NA,NA,NA,NA
"24","0500000US22047","Iberville Parish",2364,52,0.0219966159052453,NA,NA,NA,NA
"25","0500000US22049","Jackson Parish",1167,68,0.0582690659811482,NA,NA,NA,NA
"26","0500000US22051","Jefferson Parish",32932,1306,0.0396574760111745,9,NA,0.00689127105666156,NA
"27","0500000US22053","Jefferson Davis Parish",2512,97,0.0386146496815287,NA,NA,NA,NA
"28","0500000US22055","Lafayette Parish",19420,203,0.0104531410916581,NA,NA,NA,NA
"29","0500000US22057","Lafourche Parish",7614,258,0.0338849487785658,NA,NA,NA,NA
"30","0500000US22059","La Salle Parish",1102,74,0.0671506352087114,NA,NA,NA,NA
"31","0500000US22061","Lincoln Parish",3254,131,0.0402581438229871,NA,NA,NA,NA
"32","0500000US22063","Livingston Parish",11340,369,0.0325396825396825,NA,NA,NA,NA
"33","0500000US22065","Madison Parish",1021,109,0.106758080313418,NA,NA,NA,NA
"34","0500000US22067","Morehouse Parish",2297,60,0.0261210274270788,NA,NA,NA,NA
"35","0500000US22069","Natchitoches Parish",3008,212,0.0704787234042553,6,NA,0.0283018867924528,NA
