"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US23001","Androscoggin County",7862,2060,0.262019842279318,106,34,0.0514563106796116,0.016504854368932
"2","0500000US23003","Aroostook County",4083,765,0.187362233651727,11,NA,0.0143790849673203,NA
"3","0500000US23005","Cumberland County",17540,1865,0.106328392246294,78,13,0.0418230563002681,0.00697050938337802
"4","0500000US23007","Franklin County",1748,357,0.204233409610984,NA,NA,NA,NA
"5","0500000US23009","Hancock County",2926,474,0.161995898838004,NA,NA,NA,NA
"6","0500000US23011","Kennebec County",7339,1302,0.177408366262434,25,8,0.0192012288786482,0.00614439324116743
"7","0500000US23013","Knox County",2133,238,0.111579934364744,8,NA,0.0336134453781513,NA
"8","0500000US23015","Lincoln County",1797,99,0.0550918196994992,NA,NA,NA,NA
"9","0500000US23017","Oxford County",3331,693,0.20804563194236,7,NA,0.0101010101010101,NA
"10","0500000US23019","Penobscot County",8951,1805,0.201653446542286,24,NA,0.0132963988919668,NA
"11","0500000US23021","Piscataquis County",907,129,0.142227122381477,NA,NA,NA,NA
"12","0500000US23023","Sagadahoc County",2106,175,0.0830959164292498,6,NA,0.0342857142857143,NA
"13","0500000US23025","Somerset County",3047,579,0.190022973416475,11,NA,0.0189982728842832,NA
"14","0500000US23027","Waldo County",2384,280,0.11744966442953,NA,NA,NA,NA
"15","0500000US23029","Washington County",1912,493,0.257845188284519,7,NA,0.0141987829614604,NA
