"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US24001","Allegany County",3986,1149,0.288258906171601,24,6,0.02088772845953,0.00522193211488251
"2","0500000US24003","Anne Arundel County",42211,12110,0.286892042358627,39,10,0.0032204789430223,0.000825763831544178
"3","0500000US24005","Baltimore County",59089,19740,0.334072331567635,197,28,0.00997973657548126,0.00141843971631206
"4","0500000US24009","Calvert County",6099,916,0.150188555500902,6,NA,0.00655021834061135,NA
"5","0500000US24011","Caroline County",2428,751,0.309308072487644,15,NA,0.0199733688415446,NA
"6","0500000US24013","Carroll County",10860,2509,0.231031307550645,16,NA,0.0063770426464727,NA
"7","0500000US24015","Cecil County",7085,1741,0.245730416372618,12,NA,0.00689259046524986,NA
"8","0500000US24017","Charles County",11834,2622,0.221564982254521,6,NA,0.0022883295194508,NA
"9","0500000US24019","Dorchester County",2215,656,0.296162528216704,18,7,0.0274390243902439,0.0106707317073171
"10","0500000US24021","Frederick County",18017,5239,0.290780929122495,16,7,0.00305401794235541,0.00133613284978049
"11","0500000US24023","Garrett County",1717,405,0.235876528829354,NA,NA,NA,NA
"12","0500000US24025","Harford County",17236,4825,0.27993734045022,15,NA,0.00310880829015544,NA
"13","0500000US24027","Howard County",23609,5669,0.24012029310856,47,13,0.0082907038278356,0.00229317339918857
"14","0500000US24029","Kent County",973,204,0.209660842754368,NA,NA,NA,NA
"15","0500000US24031","Montgomery County",80503,25615,0.318186899867086,98,22,0.00382588327152059,0.000858871754831154
"16","0500000US24033","Prince George's County",70775,23110,0.326527728717768,286,76,0.0123755949805279,0.00328861964517525
"17","0500000US24035","Queen Anne's County",3034,725,0.238958470665788,NA,NA,NA,NA
"18","0500000US24037","St. Mary's County",8825,1546,0.175184135977337,NA,NA,NA,NA
"19","0500000US24039","Somerset County",1511,442,0.29252150893448,7,NA,0.0158371040723982,NA
"20","0500000US24041","Talbot County",2068,643,0.310928433268859,8,NA,0.0124416796267496,NA
"21","0500000US24043","Washington County",10569,2815,0.266344971142019,25,6,0.0088809946714032,0.00213143872113677
"22","0500000US24045","Wicomico County",7469,2275,0.304592314901593,30,6,0.0131868131868132,0.00263736263736264
"23","0500000US24047","Worcester County",2762,926,0.335264301230992,12,NA,0.0129589632829374,NA
"24","0500000US24510","Baltimore (city) County",46273,15242,0.329392950532708,635,137,0.0416611993176748,0.00898832174255347
