"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US25001","Barnstable County",9498,3943,0.41514002947989,15,NA,0.00380420999239158,NA
"2","0500000US25003","Berkshire County",6390,3366,0.526760563380282,54,9,0.0160427807486631,0.00267379679144385
"3","0500000US25005","Bristol County",35643,18869,0.529388659764891,280,72,0.0148391541682124,0.00381578250039748
"4","0500000US25007","Dukes County",976,254,0.260245901639344,8,NA,0.031496062992126,NA
"5","0500000US25009","Essex County",53033,26447,0.498689495219957,335,80,0.0126668431202027,0.0030249177600484
"6","0500000US25011","Franklin County",3785,1343,0.354821664464993,46,9,0.0342516753536858,0.00670141474311243
"7","0500000US25013","Hampden County",31453,15291,0.486153943979907,407,69,0.0266169642273233,0.0045124583088091
"8","0500000US25015","Hampshire County",6847,2652,0.387322915145319,67,17,0.02526395173454,0.00641025641025641
"9","0500000US25017","Middlesex County",103754,48715,0.469524066542013,461,116,0.00946320435184235,0.0023811967566458
"10","0500000US25019","Nantucket County",862,286,0.331786542923434,6,NA,0.020979020979021,NA
"11","0500000US25021","Norfolk County",45450,20393,0.448690869086909,149,32,0.00730642867650664,0.00156916589025646
"12","0500000US25023","Plymouth County",33150,15863,0.478521870286576,217,43,0.0136796318476959,0.00271071045829919
"13","0500000US25025","Suffolk County",49558,27055,0.545925985713709,425,84,0.0157087414525966,0.00310478654592497
