"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US26001","Alcona County",397,68,0.171284634760705,NA,NA,NA,NA
"2","0500000US26003","Alger County",412,39,0.0946601941747573,NA,NA,NA,NA
"3","0500000US26005","Allegan County",8682,1222,0.140750979037088,12,NA,0.00981996726677578,NA
"4","0500000US26007","Alpena County",1639,248,0.151311775472849,NA,NA,NA,NA
"5","0500000US26009","Antrim County",1220,227,0.186065573770492,NA,NA,NA,NA
"6","0500000US26011","Arenac County",815,166,0.203680981595092,NA,NA,NA,NA
"7","0500000US26013","Baraga County",489,74,0.151329243353783,NA,NA,NA,NA
"8","0500000US26015","Barry County",3986,424,0.106372303060712,9,NA,0.0212264150943396,NA
"9","0500000US26017","Bay County",6655,1216,0.182719759579264,12,NA,0.00986842105263158,NA
"10","0500000US26019","Benzie County",983,220,0.223804679552391,NA,NA,NA,NA
"11","0500000US26021","Berrien County",11312,1678,0.148338048090523,22,7,0.0131108462455304,0.00417163289630513
"12","0500000US26023","Branch County",3231,471,0.14577530176416,8,NA,0.0169851380042463,NA
"13","0500000US26025","Calhoun County",9997,2213,0.221366409922977,85,28,0.0384093990058744,0.0126525079078174
"14","0500000US26027","Cass County",3210,465,0.144859813084112,NA,NA,NA,NA
"15","0500000US26029","Charlevoix County",1519,206,0.135615536537196,NA,NA,NA,NA
"16","0500000US26031","Cheboygan County",1213,199,0.164056059356966,NA,NA,NA,NA
"17","0500000US26033","Chippewa County",2251,287,0.127498889382497,NA,NA,NA,NA
"18","0500000US26035","Clare County",1942,289,0.148815653964985,NA,NA,NA,NA
"19","0500000US26037","Clinton County",5219,542,0.103851312511975,NA,NA,NA,NA
"20","0500000US26039","Crawford County",729,120,0.164609053497942,NA,NA,NA,NA
"21","0500000US26041","Delta County",2292,305,0.133071553228621,NA,NA,NA,NA
"22","0500000US26043","Dickinson County",1513,192,0.12690019828156,NA,NA,NA,NA
"23","0500000US26045","Eaton County",7350,862,0.117278911564626,10,NA,0.0116009280742459,NA
"24","0500000US26047","Emmet County",1891,238,0.12585933368588,NA,NA,NA,NA
"25","0500000US26049","Genesee County",30388,8970,0.295182308806108,103,32,0.0114827201783724,0.00356744704570792
"26","0500000US26051","Gladwin County",1468,218,0.14850136239782,NA,NA,NA,NA
"27","0500000US26053","Gogebic County",747,158,0.211512717536814,NA,NA,NA,NA
"28","0500000US26055","Grand Traverse County",6016,1091,0.181349734042553,NA,NA,NA,NA
"29","0500000US26057","Gratiot County",2585,410,0.158607350096712,NA,NA,NA,NA
"30","0500000US26059","Hillsdale County",3107,611,0.196652719665272,12,NA,0.0196399345335516,NA
"31","0500000US26061","Houghton County",2322,440,0.189491817398794,11,NA,0.025,NA
"32","0500000US26063","Huron County",1890,322,0.17037037037037,NA,NA,NA,NA
"33","0500000US26065","Ingham County",19150,3298,0.172219321148825,55,16,0.0166767738023044,0.00485142510612492
"34","0500000US26067","Ionia County",4663,796,0.170705554364143,10,NA,0.0125628140703518,NA
"35","0500000US26069","Iosco County",1324,205,0.154833836858006,NA,NA,NA,NA
"36","0500000US26071","Iron County",543,75,0.138121546961326,NA,NA,NA,NA
"37","0500000US26073","Isabella County",4047,525,0.129725722757598,NA,NA,NA,NA
"38","0500000US26075","Jackson County",11062,2270,0.205207015006328,36,12,0.0158590308370044,0.0052863436123348
"39","0500000US26077","Kalamazoo County",18746,3020,0.161101034887443,24,10,0.00794701986754967,0.0033112582781457
"40","0500000US26079","Kalkaska County",1160,206,0.177586206896552,NA,NA,NA,NA
"41","0500000US26081","Kent County",52798,7827,0.1482442516762,140,45,0.0178868020953111,0.00574932924492143
"42","0500000US26083","Keweenaw County",110,23,0.209090909090909,NA,NA,NA,NA
"43","0500000US26085","Lake County",590,92,0.155932203389831,NA,NA,NA,NA
"44","0500000US26087","Lapeer County",5524,780,0.141202027516293,NA,NA,NA,NA
"45","0500000US26089","Leelanau County",1086,225,0.207182320441989,NA,NA,NA,NA
"46","0500000US26091","Lenawee County",6526,968,0.148329757891511,33,11,0.0340909090909091,0.0113636363636364
"47","0500000US26093","Livingston County",11617,904,0.0778169923388138,NA,NA,NA,NA
"48","0500000US26095","Luce County",333,53,0.159159159159159,NA,NA,NA,NA
"49","0500000US26097","Mackinac County",500,86,0.172,NA,NA,NA,NA
"50","0500000US26099","Macomb County",57810,8953,0.154869399757827,17,NA,0.00189880486987602,NA
"51","0500000US26101","Manistee County",1245,251,0.201606425702811,NA,NA,NA,NA
"52","0500000US26103","Marquette County",3988,440,0.110330992978937,NA,NA,NA,NA
"53","0500000US26105","Mason County",1855,376,0.202695417789757,NA,NA,NA,NA
"54","0500000US26107","Mecosta County",2500,311,0.1244,NA,NA,NA,NA
"55","0500000US26109","Menominee County",1301,185,0.142198308993082,NA,NA,NA,NA
"56","0500000US26111","Midland County",5486,405,0.0738242799854174,NA,NA,NA,NA
"57","0500000US26113","Missaukee County",1142,90,0.0788091068301226,NA,NA,NA,NA
"58","0500000US26115","Monroe County",9915,1001,0.10095814422592,6,NA,0.00599400599400599,NA
"59","0500000US26117","Montcalm County",4449,644,0.144751629579681,NA,NA,NA,NA
"60","0500000US26119","Montmorency County",409,62,0.15158924205379,NA,NA,NA,NA
"61","0500000US26121","Muskegon County",12962,2026,0.156303039654374,52,23,0.0256663376110563,0.0113524185587364
"62","0500000US26123","Newaygo County",3377,436,0.129108676339947,NA,NA,NA,NA
"63","0500000US26125","Oakland County",82973,12765,0.153845226760512,72,16,0.00564042303172738,0.00125342734038386
"64","0500000US26127","Oceana County",1896,365,0.192510548523207,NA,NA,NA,NA
"65","0500000US26129","Ogemaw County",1175,211,0.179574468085106,NA,NA,NA,NA
"66","0500000US26131","Ontonagon County",176,36,0.204545454545455,NA,NA,NA,NA
"67","0500000US26133","Osceola County",1644,226,0.137469586374696,NA,NA,NA,NA
"68","0500000US26135","Oscoda County",480,99,0.20625,NA,NA,NA,NA
"69","0500000US26137","Otsego County",1678,286,0.170441001191895,NA,NA,NA,NA
"70","0500000US26139","Ottawa County",21556,2400,0.111337910558545,12,NA,0.005,NA
"71","0500000US26141","Presque Isle County",581,69,0.118760757314974,NA,NA,NA,NA
"72","0500000US26143","Roscommon County",1039,139,0.133782483156882,NA,NA,NA,NA
"73","0500000US26145","Saginaw County",13627,2593,0.190283995009907,15,6,0.00578480524489009,0.00231392209795604
"74","0500000US26147","St. Clair County",10186,727,0.0713724720204202,10,NA,0.0137551581843191,NA
"75","0500000US26149","St. Joseph County",4947,344,0.0695370931877906,NA,NA,NA,NA
"76","0500000US26151","Sanilac County",2749,262,0.0953073845034558,NA,NA,NA,NA
"77","0500000US26153","Schoolcraft County",443,56,0.126410835214447,NA,NA,NA,NA
"78","0500000US26155","Shiawassee County",4377,1022,0.233493260223898,9,NA,0.00880626223091976,NA
"79","0500000US26157","Tuscola County",3317,684,0.206210431112451,6,NA,0.0087719298245614,NA
"80","0500000US26159","Van Buren County",5601,754,0.134618818068202,12,6,0.0159151193633952,0.00795755968169761
"81","0500000US26161","Washtenaw County",22316,2737,0.122647427854454,14,NA,0.0051150895140665,NA
"82","0500000US26163","Wayne County",138487,30330,0.21900972654473,1078,301,0.0355423672931091,0.00992416749093307
"83","0500000US26165","Wexford County",2491,327,0.131272581292654,NA,NA,NA,NA
