"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US27001","Aitkin County",727,149,0.204951856946355,NA,NA,NA,NA
"2","0500000US27003","Anoka County",26727,6492,0.242900437759569,15,NA,0.00231053604436229,NA
"3","0500000US27005","Becker County",2625,566,0.215619047619048,NA,NA,NA,NA
"4","0500000US27007","Beltrami County",4107,708,0.172388604821037,NA,NA,NA,NA
"5","0500000US27009","Benton County",3501,946,0.270208511853756,NA,NA,NA,NA
"6","0500000US27011","Big Stone County",341,85,0.249266862170088,NA,NA,NA,NA
"7","0500000US27013","Blue Earth County",4496,844,0.187722419928826,NA,NA,NA,NA
"8","0500000US27015","Brown County",1734,442,0.254901960784314,NA,NA,NA,NA
"9","0500000US27017","Carlton County",2339,553,0.236425823001283,NA,NA,NA,NA
"10","0500000US27019","Carver County",8277,1185,0.143167814425516,NA,NA,NA,NA
"11","0500000US27021","Cass County",2045,441,0.215647921760391,NA,NA,NA,NA
"12","0500000US27023","Chippewa County",1014,255,0.251479289940828,NA,NA,NA,NA
"13","0500000US27025","Chisago County",3851,688,0.178654894832511,NA,NA,NA,NA
"14","0500000US27027","Clay County",5529,1112,0.201121360101284,NA,NA,NA,NA
"15","0500000US27029","Clearwater County",682,75,0.109970674486804,NA,NA,NA,NA
"16","0500000US27031","Cook County",307,40,0.130293159609121,NA,NA,NA,NA
"17","0500000US27033","Cottonwood County",945,151,0.15978835978836,NA,NA,NA,NA
"18","0500000US27035","Crow Wing County",4483,820,0.182913227749275,NA,NA,NA,NA
"19","0500000US27037","Dakota County",33294,7796,0.234156304439238,12,NA,0.00153925089789636,NA
"20","0500000US27039","Dodge County",1626,210,0.129151291512915,NA,NA,NA,NA
"21","0500000US27041","Douglas County",2625,620,0.236190476190476,NA,NA,NA,NA
"22","0500000US27043","Faribault County",920,188,0.204347826086957,NA,NA,NA,NA
"23","0500000US27045","Fillmore County",1657,227,0.136994568497284,NA,NA,NA,NA
"24","0500000US27047","Freeborn County",2115,431,0.203782505910165,7,NA,0.0162412993039443,NA
"25","0500000US27049","Goodhue County",3198,550,0.17198248905566,9,NA,0.0163636363636364,NA
"26","0500000US27051","Grant County",461,121,0.262472885032538,NA,NA,NA,NA
"27","0500000US27053","Hennepin County",96687,21831,0.225790437183903,169,34,0.00774128532820301,0.00155741835005268
"28","0500000US27055","Houston County",1246,180,0.14446227929374,NA,NA,NA,NA
"29","0500000US27057","Hubbard County",1385,160,0.115523465703971,NA,NA,NA,NA
"30","0500000US27059","Isanti County",2955,707,0.239255499153976,NA,NA,NA,NA
"31","0500000US27061","Itasca County",2888,801,0.277354570637119,NA,NA,NA,NA
"32","0500000US27063","Jackson County",675,151,0.223703703703704,NA,NA,NA,NA
"33","0500000US27065","Kanabec County",1028,170,0.165369649805447,NA,NA,NA,NA
"34","0500000US27067","Kandiyohi County",3477,892,0.256542996836353,18,8,0.0201793721973094,0.00896860986547085
"35","0500000US27069","Kittson County",261,21,0.0804597701149425,NA,NA,NA,NA
