"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US28001","Adams County",2159,437,0.202408522464104,NA,NA,NA,NA
"2","0500000US28003","Alcorn County",2688,339,0.126116071428571,NA,NA,NA,NA
"3","0500000US28005","Amite County",786,114,0.145038167938931,NA,NA,NA,NA
"4","0500000US28007","Attala County",1498,192,0.128170894526035,NA,NA,NA,NA
"5","0500000US28009","Benton County",585,124,0.211965811965812,NA,NA,NA,NA
"6","0500000US28011","Bolivar County",2595,177,0.0682080924855491,NA,NA,NA,NA
"7","0500000US28013","Calhoun County",1049,189,0.180171591992374,NA,NA,NA,NA
"8","0500000US28015","Carroll County",548,73,0.133211678832117,NA,NA,NA,NA
"9","0500000US28017","Chickasaw County",1416,227,0.160310734463277,NA,NA,NA,NA
"10","0500000US28019","Choctaw County",563,98,0.174067495559503,NA,NA,NA,NA
"11","0500000US28021","Claiborne County",645,119,0.184496124031008,NA,NA,NA,NA
"12","0500000US28023","Clarke County",1076,105,0.0975836431226766,NA,NA,NA,NA
"13","0500000US28025","Clay County",1376,246,0.178779069767442,NA,NA,NA,NA
"14","0500000US28027","Coahoma County",2244,576,0.25668449197861,NA,NA,NA,NA
"15","0500000US28029","Copiah County",2103,322,0.153114598193058,NA,NA,NA,NA
"16","0500000US28031","Covington County",1555,277,0.178135048231511,NA,NA,NA,NA
"17","0500000US28033","DeSoto County",13471,1631,0.121074901640561,NA,NA,NA,NA
"18","0500000US28035","Forrest County",5979,1063,0.177788927914367,7,NA,0.00658513640639699,NA
"19","0500000US28037","Franklin County",513,82,0.159844054580897,NA,NA,NA,NA
"20","0500000US28039","George County",2210,304,0.137556561085973,NA,NA,NA,NA
"21","0500000US28041","Greene County",741,108,0.145748987854251,NA,NA,NA,NA
"22","0500000US28043","Grenada County",1606,224,0.13947696139477,NA,NA,NA,NA
"23","0500000US28045","Hancock County",2999,187,0.0623541180393464,NA,NA,NA,NA
"24","0500000US28047","Harrison County",16330,1659,0.101592161665646,9,NA,0.0054249547920434,NA
"25","0500000US28049","Hinds County",18829,2379,0.126347655212704,13,NA,0.00546448087431694,NA
"26","0500000US28051","Holmes County",1447,283,0.195577055977885,NA,NA,NA,NA
"27","0500000US28053","Humphreys County",631,179,0.283676703645008,NA,NA,NA,NA
"28","0500000US28055","Issaquena County",49,NA,NA,NA,NA,NA,NA
"29","0500000US28057","Itawamba County",1586,211,0.133039092055486,NA,NA,NA,NA
"30","0500000US28059","Jackson County",10050,759,0.0755223880597015,NA,NA,NA,NA
"31","0500000US28061","Jasper County",1251,160,0.127897681854516,NA,NA,NA,NA
"32","0500000US28063","Jefferson County",580,133,0.229310344827586,NA,NA,NA,NA
"33","0500000US28065","Jefferson Davis County",751,154,0.205059920106525,NA,NA,NA,NA
"34","0500000US28067","Jones County",5694,707,0.12416578854935,NA,NA,NA,NA
"35","0500000US28069","Kemper County",539,79,0.146567717996289,NA,NA,NA,NA
"36","0500000US28071","Lafayette County",3298,434,0.131594906003639,NA,NA,NA,NA
"37","0500000US28073","Lamar County",4861,569,0.117054104093808,NA,NA,NA,NA
"38","0500000US28075","Lauderdale County",5860,626,0.106825938566553,12,NA,0.0191693290734824,NA
"39","0500000US28077","Lawrence County",973,162,0.166495375128469,NA,NA,NA,NA
"40","0500000US28079","Leake County",1781,249,0.139809096013476,NA,NA,NA,NA
"41","0500000US28081","Lee County",6939,809,0.116587404525148,NA,NA,NA,NA
"42","0500000US28083","Leflore County",2702,671,0.248334566987417,11,NA,0.0163934426229508,NA
"43","0500000US28085","Lincoln County",2592,306,0.118055555555556,NA,NA,NA,NA
"44","0500000US28087","Lowndes County",4644,542,0.116709732988803,NA,NA,NA,NA
"45","0500000US28089","Madison County",8017,647,0.080703505051765,NA,NA,NA,NA
"46","0500000US28091","Marion County",1815,346,0.190633608815427,7,NA,0.0202312138728324,NA
"47","0500000US28093","Marshall County",2504,511,0.204073482428115,NA,NA,NA,NA
"48","0500000US28095","Monroe County",2496,229,0.0917467948717949,NA,NA,NA,NA
"49","0500000US28097","Montgomery County",771,125,0.162127107652399,NA,NA,NA,NA
"50","0500000US28099","Neshoba County",2576,292,0.113354037267081,NA,NA,NA,NA
"51","0500000US28101","Newton County",1675,199,0.118805970149254,NA,NA,NA,NA
"52","0500000US28103","Noxubee County",890,121,0.135955056179775,NA,NA,NA,NA
"53","0500000US28105","Oktibbeha County",3093,397,0.128354348528936,NA,NA,NA,NA
"54","0500000US28107","Panola County",2834,727,0.256527875793931,NA,NA,NA,NA
"55","0500000US28109","Pearl River County",3908,453,0.115916069600819,NA,NA,NA,NA
"56","0500000US28111","Perry County",847,137,0.161747343565525,NA,NA,NA,NA
"57","0500000US28113","Pike County",3183,542,0.170279610430412,NA,NA,NA,NA
"58","0500000US28115","Pontotoc County",2701,328,0.121436504998149,NA,NA,NA,NA
"59","0500000US28117","Prentiss County",1791,247,0.137911781127862,NA,NA,NA,NA
"60","0500000US28119","Quitman County",535,114,0.213084112149533,NA,NA,NA,NA
"61","0500000US28121","Rankin County",11178,618,0.0552871712292002,NA,NA,NA,NA
"62","0500000US28123","Scott County",2581,387,0.149941882991089,NA,NA,NA,NA
"63","0500000US28125","Sharkey County",315,24,0.0761904761904762,NA,NA,NA,NA
"64","0500000US28127","Simpson County",1840,204,0.110869565217391,NA,NA,NA,NA
"65","0500000US28129","Smith County",1150,101,0.0878260869565217,NA,NA,NA,NA
"66","0500000US28131","Stone County",1263,129,0.102137767220903,NA,NA,NA,NA
"67","0500000US28133","Sunflower County",1822,232,0.127332601536773,NA,NA,NA,NA
