"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US29001","Adair County",1510,258,0.170860927152318,NA,NA,NA,NA
"2","0500000US29003","Andrew County",1237,245,0.198059822150364,NA,NA,NA,NA
"3","0500000US29005","Atchison County",334,51,0.152694610778443,NA,NA,NA,NA
"4","0500000US29007","Audrain County",1922,426,0.221644120707596,14,6,0.0328638497652582,0.0140845070422535
"5","0500000US29009","Barry County",2584,284,0.109907120743034,NA,NA,NA,NA
"6","0500000US29011","Barton County",856,128,0.149532710280374,NA,NA,NA,NA
"7","0500000US29013","Bates County",1182,232,0.196277495769882,NA,NA,NA,NA
"8","0500000US29015","Benton County",1021,127,0.124387855044074,NA,NA,NA,NA
"9","0500000US29017","Bollinger County",804,180,0.223880597014925,NA,NA,NA,NA
"10","0500000US29019","Boone County",12513,2295,0.18340925437545,8,NA,0.00348583877995643,NA
"11","0500000US29021","Buchanan County",6727,1452,0.215846588375204,74,22,0.0509641873278237,0.0151515151515152
"12","0500000US29023","Butler County",3235,804,0.248531684698609,NA,NA,NA,NA
"13","0500000US29025","Caldwell County",644,133,0.206521739130435,NA,NA,NA,NA
"14","0500000US29027","Callaway County",2986,482,0.161419959812458,NA,NA,NA,NA
"15","0500000US29029","Camden County",2590,272,0.105019305019305,NA,NA,NA,NA
"16","0500000US29031","Cape Girardeau County",5489,802,0.146110402623429,10,NA,0.0124688279301746,NA
"17","0500000US29033","Carroll County",630,153,0.242857142857143,NA,NA,NA,NA
"18","0500000US29035","Carter County",460,101,0.219565217391304,NA,NA,NA,NA
"19","0500000US29037","Cass County",7659,1129,0.14740827784306,6,NA,0.00531443755535872,NA
"20","0500000US29039","Cedar County",1130,117,0.10353982300885,NA,NA,NA,NA
"21","0500000US29041","Chariton County",560,109,0.194642857142857,NA,NA,NA,NA
"22","0500000US29043","Christian County",6610,927,0.140242057488654,6,NA,0.00647249190938511,NA
"23","0500000US29045","Clark County",486,115,0.236625514403292,NA,NA,NA,NA
"24","0500000US29047","Clay County",19066,2910,0.152627714255743,20,NA,0.00687285223367698,NA
"25","0500000US29049","Clinton County",1440,207,0.14375,NA,NA,NA,NA
"26","0500000US29051","Cole County",5594,825,0.147479442259564,10,NA,0.0121212121212121,NA
"27","0500000US29053","Cooper County",1169,234,0.200171086398631,NA,NA,NA,NA
"28","0500000US29055","Crawford County",1743,333,0.19104991394148,NA,NA,NA,NA
"29","0500000US29057","Dade County",462,110,0.238095238095238,NA,NA,NA,NA
"30","0500000US29059","Dallas County",1277,178,0.139389193422083,NA,NA,NA,NA
"31","0500000US29061","Daviess County",657,114,0.17351598173516,NA,NA,NA,NA
"32","0500000US29063","DeKalb County",711,148,0.208157524613221,NA,NA,NA,NA
"33","0500000US29065","Dent County",1133,233,0.205648720211827,NA,NA,NA,NA
"34","0500000US29067","Douglas County",893,228,0.25531914893617,NA,NA,NA,NA
"35","0500000US29069","Dunklin County",2593,503,0.193983802545314,NA,NA,NA,NA
"36","0500000US29071","Franklin County",7619,855,0.112219451371571,12,6,0.0140350877192982,0.00701754385964912
"37","0500000US29073","Gasconade County",915,174,0.19016393442623,NA,NA,NA,NA
"38","0500000US29075","Gentry County",584,111,0.190068493150685,NA,NA,NA,NA
"39","0500000US29077","Greene County",21025,3202,0.152294887039239,30,10,0.00936914428482199,0.00312304809494066
"40","0500000US29079","Grundy County",862,182,0.211136890951276,11,NA,0.0604395604395604,NA
"41","0500000US29081","Harrison County",660,109,0.165151515151515,NA,NA,NA,NA
"42","0500000US29083","Henry County",1576,271,0.171954314720812,NA,NA,NA,NA
"43","0500000US29085","Hickory County",483,101,0.209109730848861,NA,NA,NA,NA
"44","0500000US29087","Holt County",276,82,0.297101449275362,NA,NA,NA,NA
"45","0500000US29089","Howard County",729,151,0.207133058984911,NA,NA,NA,NA
"46","0500000US29091","Howell County",3122,358,0.114670083279949,NA,NA,NA,NA
"47","0500000US29093","Iron County",607,257,0.42339373970346,19,NA,0.0739299610894942,NA
"48","0500000US29095","Jackson County",56027,12379,0.220947043389794,354,103,0.0285968171904031,0.0083205428548348
"49","0500000US29097","Jasper County",10031,2406,0.239856445020437,35,13,0.014546965918537,0.00540315876974231
"50","0500000US29099","Jefferson County",16290,1605,0.0985267034990792,11,NA,0.00685358255451713,NA
"51","0500000US29101","Johnson County",4055,353,0.0870530209617756,9,NA,0.0254957507082153,NA
"52","0500000US29103","Knox County",294,41,0.139455782312925,NA,NA,NA,NA
"53","0500000US29105","Laclede County",2885,474,0.164298093587522,NA,NA,NA,NA
"54","0500000US29107","Lafayette County",2298,507,0.220626631853786,NA,NA,NA,NA
"55","0500000US29109","Lawrence County",3041,430,0.141400854981914,NA,NA,NA,NA
"56","0500000US29111","Lewis County",694,171,0.246397694524496,NA,NA,NA,NA
"57","0500000US29113","Lincoln County",4620,549,0.118831168831169,NA,NA,NA,NA
"58","0500000US29115","Linn County",911,145,0.159165751920966,NA,NA,NA,NA
"59","0500000US29117","Livingston County",1023,211,0.206256109481916,NA,NA,NA,NA
"60","0500000US29119","McDonald County",1954,266,0.136131013306039,NA,NA,NA,NA
"61","0500000US29121","Macon County",1083,231,0.213296398891967,NA,NA,NA,NA
"62","0500000US29123","Madison County",902,269,0.298226164079823,NA,NA,NA,NA
"63","0500000US29125","Maries County",534,73,0.136704119850187,NA,NA,NA,NA
"64","0500000US29127","Marion County",2234,569,0.254700089525515,15,9,0.0263620386643234,0.015817223198594
"65","0500000US29129","Mercer County",271,28,0.103321033210332,NA,NA,NA,NA
"66","0500000US29131","Miller County",1917,212,0.110589462702139,NA,NA,NA,NA
"67","0500000US29133","Mississippi County",859,335,0.389988358556461,NA,NA,NA,NA
"68","0500000US29135","Moniteau County",1277,170,0.133124510571652,NA,NA,NA,NA
"69","0500000US29137","Monroe County",591,100,0.169204737732657,NA,NA,NA,NA
"70","0500000US29139","Montgomery County",788,235,0.298223350253807,NA,NA,NA,NA
"71","0500000US29141","Morgan County",1538,187,0.121586475942783,NA,NA,NA,NA
"72","0500000US29143","New Madrid County",1333,369,0.2768192048012,NA,NA,NA,NA
"73","0500000US29145","Newton County",4329,902,0.208362208362208,7,NA,0.00776053215077605,NA
"74","0500000US29147","Nodaway County",1242,310,0.249597423510467,7,NA,0.0225806451612903,NA
"75","0500000US29149","Oregon County",755,173,0.229139072847682,NA,NA,NA,NA
"76","0500000US29151","Osage County",959,174,0.181438998957247,NA,NA,NA,NA
"77","0500000US29153","Ozark County",495,88,0.177777777777778,NA,NA,NA,NA
