"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US34001","Atlantic County",18120,3754,0.207174392935982,41,10,0.0109216835375599,0.0026638252530634
"2","0500000US34003","Bergen County",61109,13551,0.221751296862983,109,28,0.00804368681278135,0.00206626817209062
"3","0500000US34005","Burlington County",27970,3478,0.124347515194852,32,12,0.00920069005175388,0.00345025876940771
"4","0500000US34007","Camden County",37630,5637,0.149800690938081,93,18,0.0164981373070782,0.00319318786588611
"5","0500000US34009","Cape May County",5351,519,0.096991216595029,NA,NA,NA,NA
"6","0500000US34011","Cumberland County",11856,3211,0.270833333333333,126,20,0.039240112114606,0.00622858922454064
"7","0500000US34013","Essex County",63319,26310,0.415515090257269,1107,224,0.0420752565564424,0.00851387305207146
"8","0500000US34015","Gloucester County",19078,1825,0.0956599224237341,21,8,0.0115068493150685,0.00438356164383562
"9","0500000US34017","Hudson County",55036,18510,0.336325314339705,458,137,0.0247433819556996,0.00740140464613722
"10","0500000US34019","Hunterdon County",6339,1000,0.157753588894147,NA,NA,NA,NA
"11","0500000US34021","Mercer County",25243,5766,0.228419759933447,194,36,0.0336455081512314,0.00624349635796046
"12","0500000US34023","Middlesex County",57834,11901,0.205778607739392,231,55,0.0194101336022183,0.00462146038148055
"13","0500000US34025","Monmouth County",38105,7111,0.186615929668023,132,28,0.0185627900435944,0.00393756152439882
"14","0500000US34027","Morris County",30563,4547,0.148774662173216,59,15,0.012975588299978,0.00329887838135034
"15","0500000US34029","Ocean County",49652,12051,0.242709256424716,35,11,0.00290432329267281,0.000912787320554311
"16","0500000US34031","Passaic County",41230,14543,0.352728595682755,412,80,0.0283297806504848,0.00550092828164753
"17","0500000US34033","Salem County",4135,874,0.21136638452237,25,8,0.028604118993135,0.0091533180778032
"18","0500000US34035","Somerset County",21115,3338,0.158086668245323,48,18,0.0143798681845416,0.00539245056920312
"19","0500000US34037","Sussex County",7889,865,0.109646343009253,NA,NA,NA,NA
"20","0500000US34039","Union County",42403,13406,0.316156875692758,264,72,0.0196926749216769,0.00537072952409369
"21","0500000US34041","Warren County",6077,896,0.147441171630739,24,NA,0.0267857142857143,NA
