"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US35001","Bernalillo County",47466,2645,0.0557240972485569,10,NA,0.00378071833648393,NA
"2","0500000US35005","Chaves County",5432,653,0.120213549337261,NA,NA,NA,NA
"3","0500000US35006","Cibola County",2146,207,0.0964585274930102,NA,NA,NA,NA
"4","0500000US35007","Colfax County",739,98,0.132611637347767,NA,NA,NA,NA
"5","0500000US35009","Curry County",4877,167,0.0342423621078532,NA,NA,NA,NA
"6","0500000US35011","DeBaca County",107,NA,NA,NA,NA,NA,NA
"7","0500000US35013","Dona Ana County",17280,761,0.0440393518518519,NA,NA,NA,NA
"8","0500000US35015","Eddy County",5176,986,0.190494590417311,NA,NA,NA,NA
"9","0500000US35017","Grant County",1799,49,0.0272373540856031,NA,NA,NA,NA
"10","0500000US35019","Guadalupe County",285,9,0.0315789473684211,NA,NA,NA,NA
"11","0500000US35021","Harding County",34,10,0.294117647058824,NA,NA,NA,NA
"12","0500000US35023","Hidalgo County",329,8,0.0243161094224924,NA,NA,NA,NA
"13","0500000US35025","Lea County",6757,220,0.0325588278821962,NA,NA,NA,NA
"14","0500000US35027","Lincoln County",1131,103,0.0910698496905393,NA,NA,NA,NA
"15","0500000US35028","Los Alamos County",1263,65,0.051464766429137,NA,NA,NA,NA
"16","0500000US35029","Luna County",2241,212,0.0946006247211067,NA,NA,NA,NA
"17","0500000US35031","McKinley County",6719,395,0.0587885101949695,9,NA,0.0227848101265823,NA
"18","0500000US35033","Mora County",254,NA,NA,NA,NA,NA,NA
"19","0500000US35035","Otero County",5416,169,0.0312038404726736,NA,NA,NA,NA
"20","0500000US35037","Quay County",547,43,0.0786106032906764,NA,NA,NA,NA
"21","0500000US35039","Rio Arriba County",3116,226,0.0725288831835687,NA,NA,NA,NA
"22","0500000US35041","Roosevelt County",1599,123,0.0769230769230769,NA,NA,NA,NA
"23","0500000US35043","Sandoval County",9853,596,0.0604891911093068,NA,NA,NA,NA
"24","0500000US35045","San Juan County",10845,792,0.0730290456431535,8,NA,0.0101010101010101,NA
"25","0500000US35047","San Miguel County",1655,28,0.0169184290030211,NA,NA,NA,NA
"26","0500000US35049","Santa Fe County",8130,654,0.0804428044280443,NA,NA,NA,NA
"27","0500000US35051","Sierra County",638,97,0.152037617554859,NA,NA,NA,NA
"28","0500000US35053","Socorro County",1216,94,0.0773026315789474,NA,NA,NA,NA
"29","0500000US35055","Taos County",1761,57,0.0323679727427598,NA,NA,NA,NA
"30","0500000US35057","Torrance County",975,51,0.0523076923076923,NA,NA,NA,NA
"31","0500000US35059","Union County",242,16,0.0661157024793388,NA,NA,NA,NA
"32","0500000US35061","Valencia County",5315,312,0.0587017873941675,NA,NA,NA,NA
