"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US36001","Albany County",18773,4745,0.252756618547915,236,82,0.049736564805058,0.0172813487881981
"2","0500000US36003","Allegany County",3000,777,0.259,29,11,0.0373230373230373,0.0141570141570142
"3","0500000US36007","Broome County",12115,2711,0.223772183243913,89,32,0.032829214312062,0.0118037624492807
"4","0500000US36009","Cattaraugus County",5371,1398,0.260286725004655,67,16,0.0479256080114449,0.011444921316166
"5","0500000US36011","Cayuga County",4624,1271,0.274870242214533,44,7,0.034618410700236,0.00550747442958301
"6","0500000US36013","Chautauqua County",8436,2328,0.275960170697013,91,30,0.0390893470790378,0.0128865979381443
"7","0500000US36015","Chemung County",5872,1460,0.248637602179837,49,19,0.0335616438356164,0.013013698630137
"8","0500000US36017","Chenango County",3060,809,0.26437908496732,42,12,0.0519159456118665,0.0148331273176761
"9","0500000US36019","Clinton County",4718,1252,0.265366680796948,6,NA,0.00479233226837061,NA
"10","0500000US36021","Columbia County",3151,726,0.230403046651857,52,8,0.0716253443526171,0.0110192837465565
"11","0500000US36023","Cortland County",2891,778,0.269111034244206,38,9,0.0488431876606684,0.0115681233933162
"12","0500000US36025","Delaware County",2214,608,0.274616079494128,30,7,0.0493421052631579,0.0115131578947368
"13","0500000US36027","Dutchess County",16589,4575,0.275785158840195,91,32,0.0198907103825137,0.00699453551912568
"14","0500000US36029","Erie County",61090,20148,0.329808479292847,1130,415,0.0560849712130236,0.0205975779233671
"15","0500000US36031","Essex County",1857,419,0.225632740980075,NA,NA,NA,NA
"16","0500000US36033","Franklin County",3001,787,0.262245918027324,17,NA,0.0216010165184244,NA
"17","0500000US36035","Fulton County",3315,965,0.291101055806938,129,34,0.133678756476684,0.0352331606217617
"18","0500000US36037","Genesee County",3646,932,0.255622600109709,30,9,0.0321888412017167,0.00965665236051502
"19","0500000US36039","Greene County",2438,577,0.236669401148482,22,6,0.0381282495667244,0.0103986135181976
"20","0500000US36041","Hamilton County",173,46,0.265895953757225,NA,NA,NA,NA
"21","0500000US36043","Herkimer County",3941,1153,0.292565338746511,62,20,0.0537727666955768,0.0173460537727667
"22","0500000US36045","Jefferson County",10469,2502,0.238991307670265,77,23,0.030775379696243,0.00919264588329336
"23","0500000US36049","Lewis County",1973,435,0.220476431829701,26,7,0.0597701149425287,0.0160919540229885
"24","0500000US36051","Livingston County",3333,861,0.258325832583258,29,8,0.0336817653890825,0.00929152148664344
"25","0500000US36053","Madison County",4021,884,0.219845809500124,40,9,0.0452488687782805,0.0101809954751131
"26","0500000US36055","Monroe County",50066,12791,0.255482762753166,403,105,0.0315065280275193,0.00820889688061919
"27","0500000US36057","Montgomery County",3750,932,0.248533333333333,98,28,0.105150214592275,0.0300429184549356
"28","0500000US36059","Nassau County",90464,31150,0.344335868411744,201,42,0.00645264847512038,0.00134831460674157
"29","0500000US36063","Niagara County",13349,3648,0.273278897295678,94,33,0.0257675438596491,0.00904605263157895
"30","0500000US36065","Oneida County",15981,4431,0.277266754270696,519,139,0.117129316181449,0.0313698939291356
"31","0500000US36067","Onondaga County",31962,10400,0.32538639634566,482,155,0.0463461538461538,0.0149038461538462
"32","0500000US36069","Ontario County",6710,1475,0.219821162444113,43,13,0.0291525423728814,0.0088135593220339
"33","0500000US36071","Orange County",30541,7972,0.261026161553322,132,37,0.0165579528349222,0.00464124435524335
"34","0500000US36073","Orleans County",2533,628,0.247927358863008,29,13,0.0461783439490446,0.0207006369426752
"35","0500000US36075","Oswego County",7639,1902,0.248985469302265,66,14,0.0347003154574132,0.00736067297581493
"36","0500000US36077","Otsego County",3111,944,0.303439408550305,19,NA,0.0201271186440678,NA
"37","0500000US36079","Putnam County",5401,1429,0.264580633216071,15,NA,0.0104968509447166,NA
"38","0500000US36083","Rensselaer County",10036,2525,0.251594260661618,110,42,0.0435643564356436,0.0166336633663366
"39","0500000US36087","Rockland County",30924,9322,0.301448712973742,92,25,0.00986912679682472,0.00268182793391976
"40","0500000US36089","St. Lawrence County",6974,1340,0.192142242615429,67,13,0.05,0.00970149253731343
"41","0500000US36091","Saratoga County",14431,3793,0.262836948236435,27,7,0.00711837595570788,0.00184550487740575
"42","0500000US36093","Schenectady County",11014,2849,0.258670782640276,95,25,0.0333450333450333,0.00877500877500877
"43","0500000US36095","Schoharie County",1579,418,0.264724509183027,6,NA,0.0143540669856459,NA
"44","0500000US36097","Schuyler County",1107,282,0.254742547425474,12,6,0.0425531914893617,0.0212765957446809
"45","0500000US36099","Seneca County",2185,391,0.178947368421053,13,NA,0.0332480818414322,NA
"46","0500000US36101","Steuben County",6447,1488,0.230805025593299,51,17,0.0342741935483871,0.0114247311827957
"47","0500000US36103","Suffolk County",96390,25165,0.261074800290487,175,47,0.00695410292072323,0.00186767335585138
