"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US37001","Alamance County",11501,1626,0.141379010520824,14,6,0.00861008610086101,0.003690036900369
"2","0500000US37003","Alexander County",2230,335,0.150224215246637,NA,NA,NA,NA
"3","0500000US37005","Alleghany County",601,75,0.124792013311148,NA,NA,NA,NA
"4","0500000US37007","Anson County",1522,215,0.141261498028909,NA,NA,NA,NA
"5","0500000US37009","Ashe County",1421,209,0.147079521463758,NA,NA,NA,NA
"6","0500000US37011","Avery County",818,84,0.102689486552567,NA,NA,NA,NA
"7","0500000US37013","Beaufort County",2832,348,0.122881355932203,11,NA,0.0316091954022989,NA
"8","0500000US37015","Bertie County",1030,269,0.261165048543689,NA,NA,NA,NA
"9","0500000US37017","Bladen County",2058,467,0.226919339164237,NA,NA,NA,NA
"10","0500000US37019","Brunswick County",6583,1004,0.152514051344372,NA,NA,NA,NA
"11","0500000US37021","Buncombe County",15775,1771,0.112266244057052,14,NA,0.00790513833992095,NA
"12","0500000US37023","Burke County",5268,515,0.0977600607441154,8,NA,0.0155339805825243,NA
"13","0500000US37025","Cabarrus County",16305,1600,0.098129408157007,11,7,0.006875,0.004375
"14","0500000US37027","Caldwell County",5003,937,0.187287627423546,NA,NA,NA,NA
"15","0500000US37029","Camden County",705,78,0.11063829787234,NA,NA,NA,NA
"16","0500000US37031","Carteret County",3614,572,0.158273381294964,NA,NA,NA,NA
"17","0500000US37033","Caswell County",1280,211,0.16484375,NA,NA,NA,NA
"18","0500000US37035","Catawba County",10929,1152,0.105407631073291,8,NA,0.00694444444444444,NA
"19","0500000US37037","Chatham County",4349,638,0.146700390894458,NA,NA,NA,NA
"20","0500000US37039","Cherokee County",1478,322,0.21786197564276,NA,NA,NA,NA
"21","0500000US37041","Chowan County",864,78,0.0902777777777778,NA,NA,NA,NA
"22","0500000US37043","Clay County",593,124,0.209106239460371,NA,NA,NA,NA
"23","0500000US37045","Cleveland County",6597,1438,0.21797786872821,13,NA,0.0090403337969402,NA
"24","0500000US37047","Columbus County",3634,973,0.267749036873968,6,NA,0.00616649537512847,NA
