"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US39001","Adams County",2033,153,0.0752582390555829,NA,NA,NA,NA
"2","0500000US39003","Allen County",7682,1162,0.15126269200729,49,13,0.0421686746987952,0.0111876075731497
"3","0500000US39005","Ashland County",3824,766,0.200313807531381,19,8,0.0248041775456919,0.010443864229765
"4","0500000US39007","Ashtabula County",6670,1005,0.150674662668666,44,9,0.0437810945273632,0.00895522388059702
"5","0500000US39009","Athens County",3088,869,0.281411917098446,14,NA,0.0161104718066743,NA
"6","0500000US39011","Auglaize County",3477,330,0.094909404659189,6,NA,0.0181818181818182,NA
"7","0500000US39013","Belmont County",4109,400,0.0973472864443904,8,NA,0.02,NA
"8","0500000US39015","Brown County",3046,394,0.129349967170059,NA,NA,NA,NA
"9","0500000US39017","Butler County",28431,4833,0.169990503323837,62,20,0.0128284709290296,0.00413821642871922
"10","0500000US39019","Carroll County",1682,310,0.184304399524376,NA,NA,NA,NA
"11","0500000US39021","Champaign County",2535,513,0.202366863905325,8,NA,0.0155945419103314,NA
"12","0500000US39023","Clark County",9645,1998,0.207153965785381,115,42,0.0575575575575576,0.021021021021021
"13","0500000US39025","Clermont County",14495,1877,0.129492928596068,14,NA,0.00745871070857752,NA
"14","0500000US39027","Clinton County",3069,449,0.146301726946888,NA,NA,NA,NA
"15","0500000US39029","Columbiana County",6551,1147,0.175087772859105,26,7,0.022667829119442,0.00610287707061901
"16","0500000US39031","Coshocton County",2792,512,0.183381088825215,10,NA,0.01953125,NA
"17","0500000US39033","Crawford County",2866,358,0.124912770411724,24,8,0.0670391061452514,0.0223463687150838
"18","0500000US39035","Cuyahoga County",86042,22075,0.256560749401455,2105,694,0.095356738391846,0.0314382785956965
"19","0500000US39037","Darke County",3775,537,0.142251655629139,NA,NA,NA,NA
"20","0500000US39039","Defiance County",2639,406,0.153846153846154,14,NA,0.0344827586206897,NA
"21","0500000US39041","Delaware County",15439,1371,0.0888010881533778,NA,NA,NA,NA
"22","0500000US39043","Erie County",4780,981,0.205230125523013,17,6,0.017329255861366,0.00611620795107034
"23","0500000US39045","Fairfield County",11221,2220,0.197843329471527,15,NA,0.00675675675675676,NA
"24","0500000US39047","Fayette County",2172,568,0.261510128913444,8,NA,0.0140845070422535,NA
"25","0500000US39049","Franklin County",109585,22095,0.201624309896427,163,43,0.00737723466847703,0.00194614166100928
"26","0500000US39051","Fulton County",3120,393,0.125961538461538,10,NA,0.0254452926208651,NA
"27","0500000US39053","Gallia County",2259,188,0.0832226648959717,NA,NA,NA,NA
"28","0500000US39055","Geauga County",6034,552,0.0914816042426251,NA,NA,NA,NA
"29","0500000US39057","Greene County",11380,1982,0.174165202108963,6,NA,0.00302724520686176,NA
"30","0500000US39059","Guernsey County",2767,741,0.267799060354174,10,NA,0.0134952766531714,NA
"31","0500000US39061","Hamilton County",63801,16438,0.257644864500556,513,157,0.0312081761771505,0.00955104027253924
"32","0500000US39063","Hancock County",5512,535,0.0970609579100145,23,NA,0.0429906542056075,NA
"33","0500000US39065","Hardin County",2328,335,0.143900343642612,9,NA,0.026865671641791,NA
"34","0500000US39067","Harrison County",987,150,0.151975683890578,NA,NA,NA,NA
"35","0500000US39069","Henry County",1895,266,0.140369393139842,NA,NA,NA,NA
"36","0500000US39071","Highland County",3286,512,0.15581253804017,9,NA,0.017578125,NA
"37","0500000US39073","Hocking County",1958,381,0.194586312563841,6,NA,0.015748031496063,NA
"38","0500000US39075","Holmes County",4496,162,0.0360320284697509,NA,NA,NA,NA
"39","0500000US39077","Huron County",4519,966,0.213764107103341,9,NA,0.0093167701863354,NA
"40","0500000US39079","Jackson County",2580,329,0.127519379844961,NA,NA,NA,NA
"41","0500000US39081","Jefferson County",4035,359,0.0889714993804213,23,8,0.064066852367688,0.0222841225626741
"42","0500000US39083","Knox County",4426,774,0.174875734297334,9,NA,0.0116279069767442,NA
"43","0500000US39085","Lake County",14049,1768,0.125845255890099,20,NA,0.0113122171945701,NA
"44","0500000US39087","Lawrence County",4139,476,0.115003624063784,NA,NA,NA,NA
"45","0500000US39089","Licking County",12716,2541,0.199826989619377,25,8,0.00983864620228257,0.00314836678473042
"46","0500000US39091","Logan County",3325,695,0.209022556390977,14,NA,0.0201438848920863,NA
"47","0500000US39093","Lorain County",21253,2896,0.136263115795417,72,18,0.0248618784530387,0.00621546961325967
"48","0500000US39095","Lucas County",33263,5832,0.175329946186453,319,81,0.0546982167352538,0.0138888888888889
"49","0500000US39097","Madison County",2697,435,0.161290322580645,NA,NA,NA,NA
"50","0500000US39099","Mahoning County",14518,3431,0.236327317812371,107,42,0.0311862430778199,0.0122413290585835
"51","0500000US39101","Marion County",4486,767,0.170976370931788,19,6,0.0247718383311604,0.00782268578878748
"52","0500000US39103","Medina County",11739,1322,0.112616066104438,NA,NA,NA,NA
"53","0500000US39105","Meigs County",1450,234,0.161379310344828,NA,NA,NA,NA
"54","0500000US39107","Mercer County",3535,340,0.0961810466760962,NA,NA,NA,NA
"55","0500000US39109","Miami County",7606,1321,0.173678674730476,26,7,0.0196820590461771,0.00529901589704769
"56","0500000US39111","Monroe County",900,161,0.178888888888889,NA,NA,NA,NA
"57","0500000US39113","Montgomery County",39172,7734,0.197436944756459,96,31,0.0124127230411171,0.00400827514869408
"58","0500000US39115","Morgan County",879,220,0.25028441410694,10,NA,0.0454545454545455,NA
"59","0500000US39117","Morrow County",2353,272,0.115597110072248,NA,NA,NA,NA
"60","0500000US39119","Muskingum County",6394,1641,0.256646856427901,38,12,0.0231566118220597,0.00731261425959781
"61","0500000US39121","Noble County",852,209,0.245305164319249,NA,NA,NA,NA
"62","0500000US39123","Ottawa County",2188,383,0.175045703839122,6,NA,0.0156657963446475,NA
"63","0500000US39125","Paulding County",1346,152,0.112927191679049,NA,NA,NA,NA
"64","0500000US39127","Perry County",2707,573,0.211673439231622,6,NA,0.0104712041884817,NA
"65","0500000US39129","Pickaway County",3927,834,0.212375859434683,NA,NA,NA,NA
"66","0500000US39131","Pike County",2073,242,0.116739025566811,6,NA,0.0247933884297521,NA
"67","0500000US39133","Portage County",9214,1964,0.213153896244845,16,NA,0.00814663951120163,NA
"68","0500000US39135","Preble County",2724,364,0.133627019089574,NA,NA,NA,NA
"69","0500000US39137","Putnam County",2779,217,0.0780856423173804,NA,NA,NA,NA
"70","0500000US39139","Richland County",8446,2146,0.254084773857447,39,NA,0.0181733457595527,NA
"71","0500000US39141","Ross County",5072,569,0.112184542586751,10,6,0.0175746924428823,0.0105448154657293
"72","0500000US39143","Sandusky County",4101,680,0.16581321628871,15,NA,0.0220588235294118,NA
"73","0500000US39145","Scioto County",5233,1009,0.192814828969998,28,8,0.0277502477700694,0.00792864222001982
"74","0500000US39147","Seneca County",3637,625,0.171844927137751,9,NA,0.0144,NA
"75","0500000US39149","Shelby County",3822,473,0.123757195185767,7,NA,0.0147991543340381,NA
"76","0500000US39151","Stark County",25409,5538,0.217954268172695,107,37,0.0193210545323221,0.00668111231491513
"77","0500000US39153","Summit County",36662,8113,0.221291800774644,120,24,0.0147910760507827,0.00295821521015654
"78","0500000US39155","Trumbull County",12753,2532,0.198541519642437,31,10,0.0122432859399684,0.00394944707740916
"79","0500000US39157","Tuscarawas County",6847,1777,0.259529721045713,25,10,0.0140686550365785,0.0056274620146314
"80","0500000US39159","Union County",4383,544,0.124115902349989,NA,NA,NA,NA
"81","0500000US39161","Van Wert County",2066,334,0.161665053242982,13,NA,0.0389221556886228,NA
"82","0500000US39163","Vinton County",842,111,0.131828978622328,NA,NA,NA,NA
"83","0500000US39165","Warren County",16535,1743,0.105412760810402,14,NA,0.00803212851405622,NA
"84","0500000US39167","Washington County",3687,567,0.153783563873068,18,NA,0.0317460317460317,NA
"85","0500000US39169","Wayne County",9333,1170,0.125361620057859,13,NA,0.0111111111111111,NA
"86","0500000US39171","Williams County",2600,511,0.196538461538462,16,NA,0.0313111545988258,NA
"87","0500000US39173","Wood County",8336,1674,0.200815738963532,11,NA,0.00657108721624851,NA
"88","0500000US39175","Wyandot County",1542,253,0.164072632944228,8,NA,0.0316205533596838,NA
