"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US40001","Adair County",1860,50,0.0268817204301075,NA,NA,NA,NA
"2","0500000US40003","Alfalfa County",416,NA,NA,NA,NA,NA,NA
"3","0500000US40005","Atoka County",1013,152,0.15004935834156,NA,NA,NA,NA
"4","0500000US40007","Beaver County",353,44,0.124645892351275,NA,NA,NA,NA
"5","0500000US40009","Beckham County",1861,301,0.161740999462654,NA,NA,NA,NA
"6","0500000US40011","Blaine County",834,29,0.0347721822541966,NA,NA,NA,NA
"7","0500000US40013","Bryan County",3588,275,0.076644370122631,NA,NA,NA,NA
"8","0500000US40015","Caddo County",2368,209,0.0882601351351351,NA,NA,NA,NA
"9","0500000US40017","Canadian County",11589,1072,0.0925015100526361,NA,NA,NA,NA
"10","0500000US40019","Carter County",4090,153,0.0374083129584352,11,NA,0.0718954248366013,NA
"11","0500000US40021","Cherokee County",3592,134,0.0373051224944321,NA,NA,NA,NA
"12","0500000US40023","Choctaw County",1209,47,0.0388751033912324,NA,NA,NA,NA
"13","0500000US40025","Cimarron County",178,NA,NA,NA,NA,NA,NA
"14","0500000US40027","Cleveland County",18800,459,0.0244148936170213,NA,NA,NA,NA
"15","0500000US40029","Coal County",443,25,0.0564334085778781,NA,NA,NA,NA
"16","0500000US40031","Comanche County",10203,233,0.02283642066059,NA,NA,NA,NA
"17","0500000US40033","Cotton County",385,15,0.038961038961039,NA,NA,NA,NA
"18","0500000US40035","Craig County",1004,20,0.0199203187250996,NA,NA,NA,NA
"19","0500000US40037","Creek County",5402,231,0.042761940022214,9,NA,0.038961038961039,NA
"20","0500000US40039","Custer County",2524,116,0.045958795562599,NA,NA,NA,NA
"21","0500000US40041","Delaware County",2631,92,0.0349676928924363,NA,NA,NA,NA
"22","0500000US40043","Dewey County",446,11,0.0246636771300448,NA,NA,NA,NA
"23","0500000US40045","Ellis County",279,NA,NA,NA,NA,NA,NA
"24","0500000US40047","Garfield County",5501,201,0.03653881112525,8,NA,0.0398009950248756,NA
"25","0500000US40049","Garvin County",2315,58,0.0250539956803456,NA,NA,NA,NA
"26","0500000US40051","Grady County",3881,114,0.0293738727132182,NA,NA,NA,NA
"27","0500000US40053","Grant County",320,15,0.046875,NA,NA,NA,NA
"28","0500000US40055","Greer County",412,15,0.0364077669902913,NA,NA,NA,NA
"29","0500000US40057","Harmon County",213,15,0.0704225352112676,NA,NA,NA,NA
"30","0500000US40059","Harper County",348,12,0.0344827586206897,NA,NA,NA,NA
"31","0500000US40061","Haskell County",963,32,0.0332294911734164,NA,NA,NA,NA
"32","0500000US40063","Hughes County",918,33,0.0359477124183007,6,NA,0.181818181818182,NA
"33","0500000US40065","Jackson County",2301,110,0.0478053020425902,8,NA,0.0727272727272727,NA
"34","0500000US40067","Jefferson County",498,30,0.0602409638554217,NA,NA,NA,NA
"35","0500000US40069","Johnston County",805,59,0.0732919254658385,6,NA,0.101694915254237,NA
"36","0500000US40071","Kay County",3734,396,0.106052490626674,20,10,0.0505050505050505,0.0252525252525253
"37","0500000US40073","Kingfisher County",1329,47,0.0353649360421369,NA,NA,NA,NA
"38","0500000US40075","Kiowa County",708,35,0.0494350282485876,NA,NA,NA,NA
"39","0500000US40077","Latimer County",727,38,0.0522696011004127,NA,NA,NA,NA
