"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US42001","Adams County",6365,913,0.14344069128044,41,11,0.0449069003285871,0.0120481927710843
"2","0500000US42003","Allegheny County",77372,15958,0.206250323114305,645,152,0.0404185988219075,0.00952500313322471
"3","0500000US42005","Armstrong County",3805,893,0.234691195795007,93,17,0.104143337066069,0.019036954087346
"4","0500000US42007","Beaver County",10447,1284,0.122906097444242,105,20,0.0817757009345794,0.0155763239875389
"5","0500000US42009","Bedford County",2818,632,0.224272533711852,44,9,0.069620253164557,0.0142405063291139
"6","0500000US42011","Berks County",29356,3864,0.131625562065677,271,90,0.0701345755693582,0.0232919254658385
"7","0500000US42013","Blair County",8062,1121,0.139047382783428,112,29,0.0999107939339875,0.0258697591436218
"8","0500000US42015","Bradford County",4288,605,0.141091417910448,27,9,0.0446280991735537,0.0148760330578512
"9","0500000US42017","Bucks County",37929,3959,0.104379234886235,40,12,0.0101035615054307,0.0030310684516292
"10","0500000US42019","Butler County",11734,1811,0.154337821714675,76,24,0.0419657647708448,0.0132523467697405
"11","0500000US42021","Cambria County",7895,1323,0.167574414186194,146,27,0.110355253212396,0.0204081632653061
"12","0500000US42023","Cameron County",270,67,0.248148148148148,NA,NA,NA,NA
"13","0500000US42025","Carbon County",3705,566,0.1527665317139,54,17,0.0954063604240283,0.0300353356890459
"14","0500000US42027","Centre County",7983,716,0.0896905925090818,17,NA,0.0237430167597765,NA
"15","0500000US42029","Chester County",35367,4645,0.13133712217604,198,46,0.0426264800861141,0.00990312163616792
"16","0500000US42031","Clarion County",2386,312,0.130762782900251,17,6,0.0544871794871795,0.0192307692307692
"17","0500000US42033","Clearfield County",4505,738,0.163817980022198,36,8,0.0487804878048781,0.010840108401084
"18","0500000US42035","Clinton County",2582,271,0.104957397366383,13,NA,0.0479704797047971,NA
"19","0500000US42037","Columbia County",3619,362,0.100027631942526,23,10,0.0635359116022099,0.0276243093922652
"20","0500000US42039","Crawford County",5716,632,0.110566829951015,60,16,0.0949367088607595,0.0253164556962025
"21","0500000US42041","Cumberland County",16474,948,0.0575452227752823,42,11,0.0443037974683544,0.0116033755274262
"22","0500000US42043","Dauphin County",20629,1955,0.0947694992486306,157,33,0.080306905370844,0.0168797953964194
"23","0500000US42045","Delaware County",40026,8904,0.222455403987408,273,63,0.0306603773584906,0.00707547169811321
"24","0500000US42047","Elk County",1786,255,0.142777155655095,6,NA,0.0235294117647059,NA
"25","0500000US42049","Erie County",18716,3567,0.190585595212652,217,48,0.0608354359405663,0.0134566862910008
"26","0500000US42051","Fayette County",8233,962,0.116846835904288,12,6,0.0124740124740125,0.00623700623700624
"27","0500000US42053","Forest County",168,20,0.119047619047619,NA,NA,NA,NA
"28","0500000US42055","Franklin County",10940,1498,0.136928702010969,113,21,0.07543391188251,0.014018691588785
"29","0500000US42057","Fulton County",896,141,0.157366071428571,NA,NA,NA,NA
"30","0500000US42059","Greene County",2322,406,0.174849267872524,23,8,0.0566502463054187,0.0197044334975369
"31","0500000US42061","Huntingdon County",2669,438,0.164106406893968,16,NA,0.0365296803652968,NA
"32","0500000US42063","Indiana County",4827,751,0.155583177957323,53,23,0.0705725699067909,0.0306258322237017
"33","0500000US42065","Jefferson County",2994,402,0.134268537074148,33,12,0.082089552238806,0.0298507462686567
"34","0500000US42067","Juniata County",1636,179,0.109413202933985,7,NA,0.0391061452513966,NA
"35","0500000US42069","Lackawanna County",13483,1904,0.141214863161018,224,60,0.117647058823529,0.0315126050420168
"36","0500000US42071","Lancaster County",43227,3159,0.0730793254216115,106,34,0.0335549224438113,0.0107628996517885
"37","0500000US42073","Lawrence County",5603,660,0.117794038907728,19,NA,0.0287878787878788,NA
"38","0500000US42075","Lebanon County",10091,913,0.0904766623724111,76,20,0.0832420591456736,0.0219058050383352
"39","0500000US42077","Lehigh County",26378,3474,0.13170065964061,1003,73,0.288716177317214,0.0210132412204951
"40","0500000US42079","Luzerne County",19480,3197,0.16411704312115,201,51,0.0628714419768533,0.0159524554269628
"41","0500000US42081","Lycoming County",7512,563,0.0749467518636848,33,10,0.0586145648312611,0.0177619893428064
"42","0500000US42083","McKean County",2448,650,0.265522875816993,69,15,0.106153846153846,0.0230769230769231
"43","0500000US42085","Mercer County",6678,930,0.1392632524708,49,11,0.0526881720430108,0.0118279569892473
"44","0500000US42087","Mifflin County",3477,417,0.11993097497843,9,6,0.0215827338129496,0.0143884892086331
"45","0500000US42089","Monroe County",9349,820,0.0877099154989839,10,NA,0.0121951219512195,NA
"46","0500000US42091","Montgomery County",55507,8870,0.159799664907129,253,85,0.0285231116121759,0.00958286358511838
"47","0500000US42093","Montour County",1214,202,0.166392092257002,13,NA,0.0643564356435644,NA
"48","0500000US42095","Northampton County",18034,1949,0.108073638682489,209,28,0.107234479220113,0.0143663417136993
"49","0500000US42097","Northumberland County",5765,968,0.167909800520382,76,26,0.0785123966942149,0.0268595041322314
"50","0500000US42099","Perry County",3205,356,0.111076443057722,21,NA,0.0589887640449438,NA
"51","0500000US42101","Philadelphia County",125389,39233,0.312890285431736,1135,300,0.0289297275252976,0.00764662401549716
"52","0500000US42103","Pike County",2676,397,0.148355754857997,9,NA,0.0226700251889169,NA
"53","0500000US42105","Potter County",1088,256,0.235294117647059,17,NA,0.06640625,NA
"54","0500000US42107","Schuylkill County",8287,1482,0.178834318812598,158,48,0.106612685560054,0.0323886639676113
"55","0500000US42109","Snyder County",2785,251,0.0901256732495512,23,NA,0.0916334661354582,NA
"56","0500000US42111","Somerset County",4127,550,0.133268718197238,33,8,0.06,0.0145454545454545
"57","0500000US42113","Sullivan County",201,20,0.0995024875621891,NA,NA,NA,NA
"58","0500000US42115","Susquehanna County",2234,197,0.0881826320501343,13,NA,0.065989847715736,NA
"59","0500000US42117","Tioga County",2606,316,0.121258633921719,18,NA,0.0569620253164557,NA
"60","0500000US42119","Union County",2447,324,0.132407029015121,17,NA,0.0524691358024691,NA
"61","0500000US42121","Venango County",3160,483,0.152848101265823,43,18,0.0890269151138716,0.0372670807453416
"62","0500000US42123","Warren County",2380,406,0.170588235294118,68,16,0.167487684729064,0.0394088669950739
"63","0500000US42125","Washington County",12689,1698,0.133816691622665,87,24,0.0512367491166078,0.0141342756183746
"64","0500000US42127","Wayne County",2515,359,0.142743538767396,25,NA,0.0696378830083565,NA
"65","0500000US42129","Westmoreland County",19622,3044,0.155131994699827,123,31,0.040407358738502,0.0101839684625493
"66","0500000US42131","Wyoming County",1608,112,0.0696517412935323,6,NA,0.0535714285714286,NA
"67","0500000US42133","York County",30838,3063,0.0993255074907582,190,55,0.0620306888671237,0.0179562520404832
