"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US47001","Anderson County",4972,877,0.176387771520515,NA,NA,NA,NA
"2","0500000US47003","Bedford County",3920,1088,0.277551020408163,NA,NA,NA,NA
"3","0500000US47005","Benton County",1000,199,0.199,NA,NA,NA,NA
"4","0500000US47007","Bledsoe County",744,98,0.131720430107527,NA,NA,NA,NA
"5","0500000US47009","Blount County",7991,1397,0.174821674383682,NA,NA,NA,NA
"6","0500000US47011","Bradley County",7219,1645,0.227870896246017,NA,NA,NA,NA
"7","0500000US47013","Campbell County",2593,437,0.168530659467798,NA,NA,NA,NA
"8","0500000US47015","Cannon County",992,103,0.10383064516129,NA,NA,NA,NA
"9","0500000US47017","Carroll County",1907,491,0.257472469847929,NA,NA,NA,NA
"10","0500000US47019","Carter County",3172,699,0.220365699873897,NA,NA,NA,NA
"11","0500000US47021","Cheatham County",2817,365,0.129570465033724,NA,NA,NA,NA
"12","0500000US47023","Chester County",1138,164,0.144112478031634,NA,NA,NA,NA
"13","0500000US47025","Claiborne County",1877,298,0.158763985082579,NA,NA,NA,NA
"14","0500000US47027","Clay County",490,56,0.114285714285714,NA,NA,NA,NA
"15","0500000US47029","Cocke County",2289,732,0.319790301441678,NA,NA,NA,NA
"16","0500000US47031","Coffee County",4238,1048,0.247286455875413,NA,NA,NA,NA
"17","0500000US47033","Crockett County",1077,232,0.215413184772516,NA,NA,NA,NA
"18","0500000US47035","Cumberland County",3421,638,0.186495176848875,NA,NA,NA,NA
"19","0500000US47037","Davidson County",54864,8837,0.161071011956839,51,12,0.00577118931764173,0.00135792689826864
"20","0500000US47039","Decatur County",799,120,0.150187734668335,NA,NA,NA,NA
"21","0500000US47041","DeKalb County",1415,NA,NA,NA,NA,NA,NA
"22","0500000US47043","Dickson County",3939,465,0.118050266565118,NA,NA,NA,NA
"23","0500000US47045","Dyer County",2791,648,0.23217484772483,NA,NA,NA,NA
"24","0500000US47047","Fayette County",2498,270,0.10808646917534,NA,NA,NA,NA
"25","0500000US47049","Fentress County",1194,261,0.218592964824121,NA,NA,NA,NA
"26","0500000US47051","Franklin County",2522,376,0.149088025376685,NA,NA,NA,NA
"27","0500000US47053","Gibson County",3818,840,0.220010476689366,6,NA,0.00714285714285714,NA
"28","0500000US47055","Giles County",2016,346,0.171626984126984,NA,NA,NA,NA
"29","0500000US47057","Grainger County",1380,166,0.120289855072464,NA,NA,NA,NA
"30","0500000US47059","Greene County",4063,757,0.186315530396259,NA,NA,NA,NA
"31","0500000US47061","Grundy County",899,220,0.244716351501669,NA,NA,NA,NA
"32","0500000US47063","Hamblen County",4713,986,0.209208572034797,NA,NA,NA,NA
"33","0500000US47065","Hamilton County",25294,4298,0.169921720566142,14,NA,0.00325732899022801,NA
"34","0500000US47067","Hancock County",429,124,0.289044289044289,NA,NA,NA,NA
"35","0500000US47069","Hardeman County",1606,377,0.234744707347447,6,NA,0.0159151193633952,NA
"36","0500000US47071","Hardin County",1703,267,0.156782149148561,NA,NA,NA,NA
"37","0500000US47073","Hawkins County",3413,566,0.165836507471433,NA,NA,NA,NA
"38","0500000US47075","Haywood County",1216,274,0.225328947368421,NA,NA,NA,NA
"39","0500000US47077","Henderson County",1931,233,0.120662868979803,NA,NA,NA,NA
"40","0500000US47079","Henry County",2102,282,0.134157944814462,NA,NA,NA,NA
"41","0500000US47081","Hickman County",1722,255,0.14808362369338,NA,NA,NA,NA
"42","0500000US47083","Houston County",523,79,0.151051625239006,NA,NA,NA,NA
"43","0500000US47085","Humphreys County",1259,184,0.14614773629865,NA,NA,NA,NA
"44","0500000US47087","Jackson County",641,52,0.0811232449297972,NA,NA,NA,NA
"45","0500000US47089","Jefferson County",3221,1115,0.346165787022664,NA,NA,NA,NA
"46","0500000US47091","Johnson County",904,304,0.336283185840708,NA,NA,NA,NA
"47","0500000US47093","Knox County",32015,6698,0.209214430735593,21,10,0.00313526425798746,0.00149298297999403
"48","0500000US47095","Lake County",373,115,0.308310991957105,NA,NA,NA,NA
"49","0500000US47097","Lauderdale County",1836,410,0.223311546840959,NA,NA,NA,NA
"50","0500000US47099","Lawrence County",3475,416,0.119712230215827,8,NA,0.0192307692307692,NA
"51","0500000US47101","Lewis County",807,127,0.157372986369269,NA,NA,NA,NA
"52","0500000US47103","Lincoln County",2237,454,0.202950379973178,NA,NA,NA,NA
"53","0500000US47105","Loudon County",3308,392,0.118500604594921,NA,NA,NA,NA
"54","0500000US47107","McMinn County",3474,650,0.187104202648244,NA,NA,NA,NA
"55","0500000US47109","McNairy County",1679,335,0.199523525908279,NA,NA,NA,NA
"56","0500000US47111","Macon County",2045,278,0.135941320293399,NA,NA,NA,NA
