"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US51001","Addison County",1913,373,0.194981704129639,8,NA,0.0214477211796247,NA
"2","0500000US51003","Bennington County",2083,302,0.14498319731157,13,NA,0.043046357615894,NA
"3","0500000US51005","Caledonia County",1746,385,0.220504009163803,10,NA,0.025974025974026,NA
"4","0500000US51007","Chittenden County",9465,1896,0.200316957210777,21,9,0.0110759493670886,0.00474683544303797
"5","0500000US51009","Essex County",355,61,0.171830985915493,NA,NA,NA,NA
"6","0500000US51011","Franklin County",3530,555,0.157223796033994,13,NA,0.0234234234234234,NA
"7","0500000US51013","Grand Isle County",381,56,0.146981627296588,NA,NA,NA,NA
"8","0500000US51015","Lamoille County",1626,375,0.230627306273063,NA,NA,NA,NA
"9","0500000US51017","Orange County",1644,293,0.178223844282238,NA,NA,NA,NA
"10","0500000US51019","Orleans County",1612,330,0.204714640198511,NA,NA,NA,NA
"11","0500000US51021","Rutland County",3251,611,0.187942171639496,22,8,0.0360065466448445,0.0130932896890344
"12","0500000US51023","Washington County",3398,459,0.135079458505003,9,NA,0.0196078431372549,NA
"13","0500000US51025","Windham County",2361,489,0.207115628970775,10,NA,0.0204498977505112,NA
"14","0500000US51027","Windsor County",2971,494,0.166273981824302,12,6,0.0242914979757085,0.0121457489878543
