"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US53001","Adams County",2470,238,0.0963562753036437,NA,NA,NA,NA
"2","0500000US53003","Asotin County",1487,62,0.0416946872898453,NA,NA,NA,NA
"3","0500000US53005","Benton County",16403,208,0.0126806072059989,NA,NA,NA,NA
"4","0500000US53007","Chelan County",5974,44,0.00736524941412789,NA,NA,NA,NA
"5","0500000US53009","Clallam County",4147,65,0.0156739811912226,NA,NA,NA,NA
"6","0500000US53011","Clark County",35443,376,0.0106085827949101,NA,NA,NA,NA
"7","0500000US53013","Columbia County",214,13,0.0607476635514019,NA,NA,NA,NA
"8","0500000US53015","Cowlitz County",7413,113,0.0152434911641711,NA,NA,NA,NA
"9","0500000US53017","Douglas County",3470,103,0.0296829971181556,NA,NA,NA,NA
"10","0500000US53019","Ferry County",407,27,0.0663390663390663,NA,NA,NA,NA
"11","0500000US53021","Franklin County",10214,282,0.0276091638926963,NA,NA,NA,NA
"12","0500000US53023","Garfield County",193,12,0.0621761658031088,NA,NA,NA,NA
"13","0500000US53025","Grant County",9402,595,0.0632844075728568,NA,NA,NA,NA
"14","0500000US53027","Grays Harbor County",4809,253,0.0526096901642753,NA,NA,NA,NA
"15","0500000US53029","Island County",5325,48,0.00901408450704225,NA,NA,NA,NA
"16","0500000US53031","Jefferson County",1300,38,0.0292307692307692,NA,NA,NA,NA
"17","0500000US53033","King County",151973,5889,0.0387503043303745,92,22,0.0156223467481746,0.00373577857021566
"18","0500000US53035","Kitsap County",17783,626,0.0352021593656863,NA,NA,NA,NA
"19","0500000US53037","Kittitas County",2571,89,0.0346168805912096,NA,NA,NA,NA
"20","0500000US53039","Klickitat County",1335,28,0.0209737827715356,NA,NA,NA,NA
"21","0500000US53041","Lewis County",5368,52,0.00968703427719821,NA,NA,NA,NA
"22","0500000US53043","Lincoln County",618,NA,NA,NA,NA,NA,NA
"23","0500000US53045","Mason County",3923,49,0.012490440989039,NA,NA,NA,NA
"24","0500000US53047","Okanogan County",3198,95,0.0297060662914321,NA,NA,NA,NA
"25","0500000US53049","Pacific County",1139,48,0.0421422300263389,NA,NA,NA,NA
"26","0500000US53051","Pend Oreille County",757,18,0.023778071334214,NA,NA,NA,NA
"27","0500000US53053","Pierce County",68070,1771,0.0260173350962245,8,NA,0.00451722190852626,NA
"28","0500000US53055","San Juan County",612,7,0.011437908496732,NA,NA,NA,NA
"29","0500000US53057","Skagit County",8890,491,0.0552305961754781,NA,NA,NA,NA
"30","0500000US53059","Skamania County",704,7,0.00994318181818182,NA,NA,NA,NA
"31","0500000US53061","Snohomish County",57561,1439,0.0249995656781501,NA,NA,NA,NA
"32","0500000US53063","Spokane County",36030,1044,0.0289758534554538,10,NA,0.00957854406130268,NA
"33","0500000US53065","Stevens County",2835,23,0.00811287477954145,NA,NA,NA,NA
"34","0500000US53067","Thurston County",19024,584,0.0306980656013457,NA,NA,NA,NA
"35","0500000US53069","Wahkiakum County",164,NA,NA,NA,NA,NA,NA
"36","0500000US53071","Walla Walla County",4118,270,0.0655658086449733,NA,NA,NA,NA
"37","0500000US53073","Whatcom County",13857,200,0.0144331384859638,NA,NA,NA,NA
"38","0500000US53075","Whitman County",2410,36,0.0149377593360996,NA,NA,NA,NA
