"","id","county_name","total_children","tested_children","percentage_tested","five_mg","ten_mg","five_mg_percentage","ten_mg_percentage"
"1","0500000US54001","Barbour County",999,178,0.178178178178178,NA,NA,NA,NA
"2","0500000US54003","Berkeley County",8611,860,0.0998722564162118,NA,NA,NA,NA
"3","0500000US54005","Boone County",1401,128,0.0913633119200571,NA,NA,NA,NA
"4","0500000US54007","Braxton County",964,145,0.150414937759336,NA,NA,NA,NA
"5","0500000US54009","Brooke County",1188,65,0.0547138047138047,NA,NA,NA,NA
"6","0500000US54011","Cabell County",6397,671,0.104892918555573,10,NA,0.014903129657228,NA
"7","0500000US54013","Calhoun County",411,62,0.150851581508516,NA,NA,NA,NA
"8","0500000US54015","Clay County",645,80,0.124031007751938,NA,NA,NA,NA
"9","0500000US54017","Doddridge County",426,77,0.18075117370892,NA,NA,NA,NA
"10","0500000US54019","Fayette County",3038,472,0.155365371955234,NA,NA,NA,NA
"11","0500000US54021","Gilmer County",361,53,0.146814404432133,NA,NA,NA,NA
"12","0500000US54023","Grant County",801,119,0.14856429463171,NA,NA,NA,NA
"13","0500000US54025","Greenbrier County",2227,516,0.23170184104176,NA,NA,NA,NA
"14","0500000US54027","Hampshire County",1381,90,0.0651701665459812,NA,NA,NA,NA
"15","0500000US54029","Hancock County",1720,127,0.0738372093023256,NA,NA,NA,NA
"16","0500000US54031","Hardy County",844,144,0.170616113744076,NA,NA,NA,NA
"17","0500000US54033","Harrison County",4737,656,0.138484272746464,8,NA,0.0121951219512195,NA
"18","0500000US54035","Jackson County",2010,215,0.106965174129353,NA,NA,NA,NA
"19","0500000US54037","Jefferson County",3784,228,0.0602536997885835,NA,NA,NA,NA
"20","0500000US54039","Kanawha County",12089,1266,0.104723302175531,NA,NA,NA,NA
"21","0500000US54041","Lewis County",1163,208,0.178847807394669,NA,NA,NA,NA
"22","0500000US54043","Lincoln County",1498,119,0.0794392523364486,NA,NA,NA,NA
"23","0500000US54045","Logan County",2159,133,0.0616025937934229,NA,NA,NA,NA
"24","0500000US54047","McDowell County",1237,147,0.118835893290218,NA,NA,NA,NA
"25","0500000US54049","Marion County",3797,683,0.179878851725046,11,NA,0.0161054172767204,NA
"26","0500000US54051","Marshall County",1912,128,0.0669456066945607,NA,NA,NA,NA
"27","0500000US54053","Mason County",1773,165,0.0930626057529611,NA,NA,NA,NA
"28","0500000US54055","Mercer County",4221,510,0.120824449182658,7,NA,0.0137254901960784,NA
"29","0500000US54057","Mineral County",1768,333,0.188348416289593,NA,NA,NA,NA
"30","0500000US54059","Mingo County",1784,80,0.0448430493273543,NA,NA,NA,NA
"31","0500000US54061","Monongalia County",6283,952,0.151519974534458,NA,NA,NA,NA
"32","0500000US54063","Monroe County",793,146,0.184110970996217,NA,NA,NA,NA
"33","0500000US54065","Morgan County",917,145,0.158124318429662,NA,NA,NA,NA
"34","0500000US54067","Nicholas County",1646,319,0.193803159173755,NA,NA,NA,NA
"35","0500000US54069","Ohio County",2642,211,0.0798637395912188,21,8,0.0995260663507109,0.037914691943128
"36","0500000US54071","Pendleton County",376,64,0.170212765957447,NA,NA,NA,NA
"37","0500000US54073","Pleasants County",455,66,0.145054945054945,NA,NA,NA,NA
"38","0500000US54075","Pocahontas County",493,99,0.200811359026369,NA,NA,NA,NA
"39","0500000US54077","Preston County",2066,288,0.139399806389158,6,NA,0.0208333333333333,NA
"40","0500000US54079","Putnam County",3855,298,0.0773022049286641,NA,NA,NA,NA
"41","0500000US54081","Raleigh County",4997,855,0.171102661596958,8,NA,0.00935672514619883,NA
"42","0500000US54083","Randolph County",1782,354,0.198653198653199,NA,NA,NA,NA
"43","0500000US54085","Ritchie County",589,90,0.152801358234295,NA,NA,NA,NA
"44","0500000US54087","Roane County",846,74,0.0874704491725768,NA,NA,NA,NA
"45","0500000US54089","Summers County",640,121,0.1890625,NA,NA,NA,NA
"46","0500000US54091","Taylor County",1100,208,0.189090909090909,8,NA,0.0384615384615385,NA
"47","0500000US54093","Tucker County",381,70,0.183727034120735,NA,NA,NA,NA
"48","0500000US54095","Tyler County",556,48,0.0863309352517986,NA,NA,NA,NA
"49","0500000US54097","Upshur County",1600,205,0.128125,NA,NA,NA,NA
"50","0500000US54099","Wayne County",2497,370,0.148177813376051,NA,NA,NA,NA
"51","0500000US54101","Webster County",514,97,0.188715953307393,NA,NA,NA,NA
"52","0500000US54103","Wetzel County",996,98,0.0983935742971888,NA,NA,NA,NA
"53","0500000US54105","Wirt County",356,40,0.112359550561798,NA,NA,NA,NA
"54","0500000US54107","Wood County",5878,670,0.113984348417829,15,NA,0.0223880597014925,NA
"55","0500000US54109","Wyoming County",1287,439,0.341103341103341,10,NA,0.0227790432801822,NA
